CapTime;av;fr;to
27/01/2022-19:42;7;9;16;
27/01/2022-19:47;7;9;16;
27/01/2022-19:52;7;9;16;
27/01/2022-19:57;7;9;16;
27/01/2022-20:02;7;9;16;
27/01/2022-20:07;7;9;16;
27/01/2022-20:12;7;9;16;
27/01/2022-20:17;7;9;16;
27/01/2022-20:22;7;9;16;
27/01/2022-20:27;7;9;16;
27/01/2022-20:32;7;9;16;
27/01/2022-20:37;7;9;16;
27/01/2022-20:42;7;9;16;
27/01/2022-20:47;7;9;16;
27/01/2022-20:52;7;9;16;
27/01/2022-20:57;7;9;16;
27/01/2022-21:02;7;9;16;
27/01/2022-21:07;7;9;16;
27/01/2022-21:12;7;9;16;
27/01/2022-21:17;7;9;16;
27/01/2022-21:22;7;9;16;
27/01/2022-21:27;7;9;16;
27/01/2022-21:32;8;8;16;
27/01/2022-21:37;8;8;16;
27/01/2022-21:42;8;8;16;
27/01/2022-21:47;8;8;16;
27/01/2022-21:52;8;8;16;
27/01/2022-21:57;8;8;16;
27/01/2022-22:02;8;8;16;
27/01/2022-22:07;8;8;16;
27/01/2022-22:12;8;8;16;
27/01/2022-22:17;8;8;16;
27/01/2022-22:22;8;8;16;
27/01/2022-22:27;8;8;16;
27/01/2022-22:32;8;8;16;
27/01/2022-22:37;8;8;16;
27/01/2022-22:42;8;8;16;
27/01/2022-22:47;8;8;16;
27/01/2022-22:52;8;8;16;
27/01/2022-22:57;8;8;16;
27/01/2022-23:02;8;8;16;
27/01/2022-23:07;8;8;16;
27/01/2022-23:12;8;8;16;
27/01/2022-23:17;8;8;16;
27/01/2022-23:22;8;8;16;
27/01/2022-23:27;8;8;16;
27/01/2022-23:32;9;7;16;
27/01/2022-23:37;9;7;16;
27/01/2022-23:42;9;7;16;
27/01/2022-23:47;9;7;16;
27/01/2022-23:52;9;7;16;
27/01/2022-23:57;9;7;16;
28/01/2022-00:02;9;7;16;
28/01/2022-00:07;9;7;16;
28/01/2022-00:12;9;7;16;
28/01/2022-00:17;9;7;16;
28/01/2022-00:22;9;7;16;
28/01/2022-00:27;9;7;16;
28/01/2022-00:32;9;7;16;
28/01/2022-00:37;9;7;16;
28/01/2022-00:42;9;7;16;
28/01/2022-00:47;9;7;16;
28/01/2022-00:52;9;7;16;
28/01/2022-00:57;9;7;16;
28/01/2022-01:02;9;7;16;
28/01/2022-01:07;9;7;16;
28/01/2022-01:12;9;7;16;
28/01/2022-01:17;9;7;16;
28/01/2022-01:22;9;7;16;
28/01/2022-01:27;9;7;16;
28/01/2022-01:32;9;7;16;
28/01/2022-01:37;9;7;16;
28/01/2022-01:42;9;7;16;
28/01/2022-01:47;9;7;16;
28/01/2022-01:52;9;7;16;
28/01/2022-01:57;9;7;16;
28/01/2022-02:02;9;7;16;
28/01/2022-02:07;9;7;16;
28/01/2022-02:12;9;7;16;
28/01/2022-02:17;9;7;16;
28/01/2022-02:22;9;7;16;
28/01/2022-02:27;9;7;16;
28/01/2022-02:32;9;7;16;
28/01/2022-02:37;9;7;16;
28/01/2022-02:42;9;7;16;
28/01/2022-02:47;9;7;16;
28/01/2022-02:52;9;7;16;
28/01/2022-02:57;9;7;16;
28/01/2022-03:02;9;7;16;
28/01/2022-03:07;9;7;16;
28/01/2022-03:12;9;7;16;
28/01/2022-03:17;9;7;16;
28/01/2022-03:22;9;7;16;
28/01/2022-03:27;9;7;16;
28/01/2022-03:32;9;7;16;
28/01/2022-03:37;9;7;16;
28/01/2022-03:42;9;7;16;
28/01/2022-03:47;9;7;16;
28/01/2022-03:52;9;7;16;
28/01/2022-03:57;9;7;16;
28/01/2022-04:02;9;7;16;
28/01/2022-04:07;9;7;16;
28/01/2022-04:12;9;7;16;
28/01/2022-04:17;9;7;16;
28/01/2022-04:22;9;7;16;
28/01/2022-04:27;9;7;16;
28/01/2022-04:32;9;7;16;
28/01/2022-04:37;9;7;16;
28/01/2022-04:42;9;7;16;
28/01/2022-04:47;9;7;16;
28/01/2022-04:52;9;7;16;
28/01/2022-04:57;9;7;16;
28/01/2022-05:02;9;7;16;
28/01/2022-05:07;9;7;16;
28/01/2022-05:12;9;7;16;
28/01/2022-05:17;9;7;16;
28/01/2022-05:22;9;7;16;
28/01/2022-05:27;9;7;16;
28/01/2022-05:32;9;7;16;
28/01/2022-05:37;9;7;16;
28/01/2022-05:42;9;7;16;
28/01/2022-05:47;9;7;16;
28/01/2022-05:52;9;7;16;
28/01/2022-05:57;9;7;16;
28/01/2022-06:02;9;7;16;
28/01/2022-06:07;9;7;16;
28/01/2022-06:12;9;7;16;
28/01/2022-06:17;9;7;16;
28/01/2022-06:22;9;7;16;
28/01/2022-06:27;9;7;16;
28/01/2022-06:32;9;7;16;
28/01/2022-06:37;9;7;16;
28/01/2022-06:42;9;7;16;
28/01/2022-06:47;9;7;16;
28/01/2022-06:52;9;7;16;
28/01/2022-06:57;9;7;16;
28/01/2022-07:02;9;7;16;
28/01/2022-07:07;9;7;16;
28/01/2022-07:12;9;7;16;
28/01/2022-07:17;9;7;16;
28/01/2022-07:22;9;7;16;
28/01/2022-07:27;9;7;16;
28/01/2022-07:32;9;7;16;
28/01/2022-07:37;9;7;16;
28/01/2022-07:42;9;7;16;
28/01/2022-07:47;9;7;16;
28/01/2022-07:52;9;7;16;
28/01/2022-07:57;9;7;16;
28/01/2022-08:02;9;7;16;
28/01/2022-08:07;9;7;16;
28/01/2022-08:12;9;7;16;
28/01/2022-08:17;9;7;16;
28/01/2022-08:22;9;7;16;
28/01/2022-08:27;9;7;16;
28/01/2022-08:32;9;7;16;
28/01/2022-08:37;9;7;16;
28/01/2022-08:42;9;7;16;
28/01/2022-08:47;9;7;16;
28/01/2022-08:52;9;7;16;
28/01/2022-08:57;9;7;16;
28/01/2022-09:02;9;7;16;
28/01/2022-09:07;9;7;16;
28/01/2022-09:12;9;7;16;
28/01/2022-09:17;9;7;16;
28/01/2022-09:22;9;7;16;
28/01/2022-09:27;9;7;16;
28/01/2022-09:32;9;7;16;
28/01/2022-09:37;9;7;16;
28/01/2022-09:42;9;7;16;
28/01/2022-09:47;9;7;16;
28/01/2022-09:52;9;7;16;
28/01/2022-09:57;9;7;16;
28/01/2022-10:02;9;7;16;
28/01/2022-10:07;9;7;16;
28/01/2022-10:12;9;7;16;
28/01/2022-10:17;9;7;16;
28/01/2022-10:22;9;7;16;
28/01/2022-10:27;9;7;16;
28/01/2022-10:32;9;7;16;
28/01/2022-10:37;9;7;16;
28/01/2022-10:42;9;7;16;
28/01/2022-10:47;9;7;16;
28/01/2022-10:52;9;7;16;
28/01/2022-10:57;9;7;16;
28/01/2022-11:02;9;7;16;
28/01/2022-11:07;9;7;16;
28/01/2022-11:12;9;7;16;
28/01/2022-11:17;9;7;16;
28/01/2022-11:22;9;7;16;
28/01/2022-11:27;9;7;16;
28/01/2022-11:32;9;7;16;
28/01/2022-11:37;9;7;16;
28/01/2022-11:42;9;7;16;
28/01/2022-11:47;9;7;16;
28/01/2022-11:52;9;7;16;
28/01/2022-11:57;9;7;16;
28/01/2022-12:02;9;7;16;
28/01/2022-12:07;9;7;16;
28/01/2022-12:12;9;7;16;
28/01/2022-12:17;9;7;16;
28/01/2022-12:22;9;7;16;
28/01/2022-12:27;9;7;16;
28/01/2022-12:32;9;7;16;
28/01/2022-12:37;9;7;16;
28/01/2022-12:42;9;7;16;
28/01/2022-12:47;9;7;16;
28/01/2022-12:52;9;7;16;
28/01/2022-12:57;9;7;16;
28/01/2022-13:02;9;7;16;
28/01/2022-13:07;10;6;16;
28/01/2022-13:12;10;6;16;
28/01/2022-13:17;10;6;16;
28/01/2022-13:22;10;6;16;
28/01/2022-13:27;10;6;16;
28/01/2022-13:32;10;6;16;
28/01/2022-13:37;10;6;16;
28/01/2022-13:42;10;6;16;
28/01/2022-13:47;10;6;16;
28/01/2022-13:52;10;6;16;
28/01/2022-13:57;10;6;16;
28/01/2022-14:02;10;6;16;
28/01/2022-14:07;10;6;16;
28/01/2022-14:12;10;6;16;
28/01/2022-14:17;10;6;16;
28/01/2022-14:22;10;6;16;
28/01/2022-14:27;10;6;16;
28/01/2022-14:32;10;6;16;
28/01/2022-14:37;10;6;16;
28/01/2022-14:42;10;6;16;
28/01/2022-14:47;10;6;16;
28/01/2022-14:52;10;6;16;
28/01/2022-14:57;10;6;16;
28/01/2022-15:02;10;6;16;
28/01/2022-15:07;10;6;16;
28/01/2022-15:12;10;6;16;
28/01/2022-15:17;10;6;16;
28/01/2022-15:22;10;6;16;
28/01/2022-15:27;10;6;16;
28/01/2022-15:32;10;6;16;
28/01/2022-15:37;10;6;16;
28/01/2022-15:42;10;6;16;
28/01/2022-15:47;10;6;16;
28/01/2022-15:52;10;6;16;
28/01/2022-15:57;10;6;16;
28/01/2022-16:02;10;6;16;
28/01/2022-16:07;10;6;16;
28/01/2022-16:12;10;6;16;
28/01/2022-16:17;10;6;16;
28/01/2022-16:22;10;6;16;
28/01/2022-16:27;10;6;16;
28/01/2022-16:32;10;6;16;
28/01/2022-16:37;10;6;16;
28/01/2022-16:42;10;6;16;
28/01/2022-16:47;10;6;16;
28/01/2022-16:52;10;6;16;
28/01/2022-16:57;10;6;16;
28/01/2022-17:02;10;6;16;
28/01/2022-17:07;10;6;16;
28/01/2022-17:12;10;6;16;
28/01/2022-17:17;10;6;16;
28/01/2022-17:22;12;4;16;
28/01/2022-17:27;12;4;16;
28/01/2022-17:32;12;4;16;
28/01/2022-17:37;12;4;16;
28/01/2022-17:42;12;4;16;
28/01/2022-17:47;12;4;16;
28/01/2022-17:52;12;4;16;
28/01/2022-17:57;12;4;16;
28/01/2022-18:02;12;4;16;
28/01/2022-18:07;12;4;16;
28/01/2022-18:12;12;4;16;
28/01/2022-18:17;12;4;16;
28/01/2022-18:22;12;4;16;
28/01/2022-18:27;12;4;16;
28/01/2022-18:32;12;4;16;
28/01/2022-18:37;12;4;16;
28/01/2022-18:42;12;4;16;
28/01/2022-18:47;12;4;16;
28/01/2022-18:52;12;4;16;
28/01/2022-18:57;12;4;16;
28/01/2022-19:02;12;4;16;
28/01/2022-19:07;12;4;16;
28/01/2022-19:12;12;4;16;
28/01/2022-19:17;12;4;16;
28/01/2022-19:23;12;4;16;
28/01/2022-19:28;12;4;16;
28/01/2022-19:33;12;4;16;
28/01/2022-19:38;12;4;16;
