CapTime;Status;Free;Total
28/01/2022-14:37;Open;0288;0593;
28/01/2022-14:42;Open;0289;0593;
28/01/2022-14:47;Open;0289;0593;
28/01/2022-14:52;Open;0289;0593;
28/01/2022-14:57;Open;0289;0593;
28/01/2022-15:02;Open;0288;0593;
28/01/2022-15:07;Open;0287;0593;
28/01/2022-15:12;Open;0287;0593;
28/01/2022-15:17;Open;0285;0593;
28/01/2022-15:22;Open;0284;0593;
28/01/2022-15:27;Open;0283;0593;
28/01/2022-15:32;Open;0283;0593;
28/01/2022-15:37;Open;0284;0593;
28/01/2022-15:42;Open;0283;0593;
28/01/2022-15:47;Open;0284;0593;
28/01/2022-15:52;Open;0286;0593;
28/01/2022-15:57;Open;0286;0593;
28/01/2022-16:02;Open;0290;0593;
28/01/2022-16:07;Open;0289;0593;
28/01/2022-16:12;Open;0288;0593;
28/01/2022-16:17;Open;0290;0593;
28/01/2022-16:22;Open;0290;0593;
28/01/2022-16:27;Open;0291;0593;
28/01/2022-16:32;Open;0299;0593;
28/01/2022-16:37;Open;0302;0593;
28/01/2022-16:42;Open;0306;0593;
28/01/2022-16:47;Open;0308;0593;
28/01/2022-16:52;Open;0309;0593;
28/01/2022-16:57;Open;0312;0593;
28/01/2022-17:02;Open;0315;0593;
28/01/2022-17:07;Open;0319;0593;
28/01/2022-17:12;Open;0323;0593;
28/01/2022-17:17;Open;0329;0593;
28/01/2022-17:22;Open;0331;0593;
28/01/2022-17:27;Open;0330;0593;
28/01/2022-17:32;Open;0333;0593;
28/01/2022-17:37;Open;0335;0593;
28/01/2022-17:42;Open;0333;0593;
28/01/2022-17:47;Open;0339;0593;
28/01/2022-17:52;Open;0343;0593;
28/01/2022-17:57;Open;0350;0593;
28/01/2022-18:02;Open;0355;0593;
28/01/2022-18:07;Open;0358;0593;
28/01/2022-18:12;Open;0359;0593;
28/01/2022-18:17;Open;0360;0593;
28/01/2022-18:22;Open;0361;0593;
28/01/2022-18:27;Open;0363;0593;
28/01/2022-18:32;Open;0366;0593;
28/01/2022-18:37;Open;0371;0593;
28/01/2022-18:42;Open;0373;0593;
28/01/2022-18:47;Open;0374;0593;
