CapTime,Status,Free,Total
28/01/2022-09:37,Open,287,588,
28/01/2022-09:42,Open,286,588,
28/01/2022-09:47,Open,284,588,
28/01/2022-09:52,Open,276,588,
28/01/2022-09:57,Open,269,588,
28/01/2022-10:02,Open,261,588,
28/01/2022-10:07,Open,260,588,
28/01/2022-10:12,Open,260,588,
28/01/2022-10:17,Open,257,588,
28/01/2022-10:22,Open,254,588,
28/01/2022-10:27,Open,251,588,
28/01/2022-10:32,Open,250,588,
28/01/2022-10:37,Open,244,588,
28/01/2022-10:42,Open,247,588,
28/01/2022-10:47,Open,247,588,
28/01/2022-10:52,Open,251,588,
28/01/2022-10:57,Open,256,588,
28/01/2022-11:02,Open,258,588,
28/01/2022-11:07,Open,258,588,
28/01/2022-11:12,Open,261,588,
28/01/2022-11:17,Open,257,588,
28/01/2022-11:22,Open,256,588,
28/01/2022-11:27,Open,256,588,
28/01/2022-11:32,Open,258,588,
28/01/2022-11:37,Open,255,588,
28/01/2022-11:42,Open,252,588,
28/01/2022-11:47,Open,252,588,
28/01/2022-11:52,Open,249,588,
28/01/2022-11:57,Open,246,588,
28/01/2022-12:02,Open,250,588,
28/01/2022-12:07,Open,245,588,
28/01/2022-12:12,Open,249,588,
28/01/2022-12:17,Open,251,588,
28/01/2022-12:22,Open,249,588,
28/01/2022-12:27,Open,250,588,
28/01/2022-12:32,Open,247,588,
28/01/2022-12:37,Open,250,588,
28/01/2022-12:42,Open,250,588,
28/01/2022-12:47,Open,247,588,
28/01/2022-12:52,Open,253,588,
28/01/2022-12:57,Open,254,588,
28/01/2022-13:02,Open,252,588,
28/01/2022-13:07,Open,259,588,
28/01/2022-13:12,Open,264,588,
28/01/2022-13:17,Open,264,588,
28/01/2022-13:22,Open,266,588,
28/01/2022-13:27,Open,267,588,
28/01/2022-13:32,Open,267,588,
28/01/2022-13:37,Open,271,588,
28/01/2022-13:42,Open,271,588,
28/01/2022-13:47,Open,270,588,
28/01/2022-13:52,Open,271,588,
28/01/2022-13:57,Open,271,588,
28/01/2022-14:02,Open,271,588,
28/01/2022-14:07,Open,267,588,
28/01/2022-14:12,Open,269,588,
28/01/2022-14:17,Open,268,588,
28/01/2022-14:22,Open,270,588,
28/01/2022-14:27,Open,270,588,
28/01/2022-14:32,Open,268,588,
28/01/2022-14:37,Open,271,588,
28/01/2022-14:42,Open,270,588,
28/01/2022-14:47,Open,269,588,
28/01/2022-14:52,Open,268,588,
28/01/2022-14:57,Open,267,588,
28/01/2022-15:02,Open,266,588,
