CapTime;Status;Free;Total
28/01/2022-08:17;Open;0251;0540;
28/01/2022-08:22;Open;0243;0540;
28/01/2022-08:27;Open;0244;0540;
28/01/2022-08:32;Open;0245;0540;
28/01/2022-08:37;Open;0241;0540;
28/01/2022-08:42;Open;0239;0540;
28/01/2022-08:47;Open;0230;0540;
28/01/2022-08:52;Open;0221;0540;
28/01/2022-08:57;Open;0221;0540;
28/01/2022-09:02;Open;0220;0540;
28/01/2022-09:07;Open;0217;0540;
28/01/2022-09:12;Open;0210;0540;
28/01/2022-09:17;Open;0212;0540;
28/01/2022-09:22;Open;0200;0540;
28/01/2022-09:27;Open;0196;0540;
28/01/2022-09:32;Open;0192;0540;
28/01/2022-09:37;Open;0192;0540;
28/01/2022-09:42;Open;0189;0540;
28/01/2022-09:47;Open;0176;0540;
28/01/2022-09:52;Open;0170;0540;
28/01/2022-09:57;Open;0165;0540;
28/01/2022-10:02;Open;0167;0540;
28/01/2022-10:07;Open;0162;0540;
28/01/2022-10:12;Open;0155;0540;
28/01/2022-10:17;Open;0147;0540;
28/01/2022-10:22;Open;0136;0540;
28/01/2022-10:27;Open;0132;0540;
28/01/2022-10:32;Open;0129;0540;
28/01/2022-10:37;Open;0123;0540;
28/01/2022-10:42;Open;0117;0540;
28/01/2022-10:47;Open;0109;0540;
28/01/2022-10:52;Open;0105;0540;
28/01/2022-10:57;Open;0100;0540;
28/01/2022-11:02;Open;0101;0540;
28/01/2022-11:07;Open;0100;0540;
28/01/2022-11:12;Open;0106;0540;
28/01/2022-11:17;Open;0108;0540;
28/01/2022-11:22;Open;0101;0540;
28/01/2022-11:27;Open;0103;0540;
28/01/2022-11:32;Open;0105;0540;
28/01/2022-11:37;Open;0100;0540;
28/01/2022-11:42;Open;0099;0540;
28/01/2022-11:47;Open;0099;0540;
28/01/2022-11:52;Open;0097;0540;
28/01/2022-11:57;Open;0092;0540;
28/01/2022-12:02;Open;0089;0540;
28/01/2022-12:07;Open;0088;0540;
28/01/2022-12:12;Open;0085;0540;
28/01/2022-12:17;Open;0085;0540;
28/01/2022-12:22;Open;0076;0540;
28/01/2022-12:27;Open;0076;0540;
28/01/2022-12:32;Open;0066;0540;
28/01/2022-12:37;Open;0055;0540;
28/01/2022-12:42;Open;0054;0540;
28/01/2022-12:47;Open;0047;0540;
28/01/2022-12:52;Open;0049;0540;
28/01/2022-12:57;Open;0045;0540;
28/01/2022-13:02;Open;0038;0540;
28/01/2022-13:07;Open;0043;0540;
28/01/2022-13:12;Open;0044;0540;
28/01/2022-13:17;Open;0041;0540;
28/01/2022-13:22;Open;0041;0540;
28/01/2022-13:27;Open;0040;0540;
28/01/2022-13:32;Open;0044;0540;
28/01/2022-13:37;Open;0052;0540;
28/01/2022-13:42;Open;0052;0540;
28/01/2022-13:47;Open;0058;0540;
28/01/2022-13:52;Open;0055;0540;
28/01/2022-13:57;Open;0060;0540;
28/01/2022-14:02;Open;0063;0540;
28/01/2022-14:07;Open;0064;0540;
28/01/2022-14:12;Open;0070;0540;
28/01/2022-14:17;Open;0072;0540;
28/01/2022-14:22;Open;0074;0540;
28/01/2022-14:27;Open;0083;0540;
28/01/2022-14:32;Open;0076;0540;
28/01/2022-14:37;Open;0075;0540;
28/01/2022-14:42;Open;0071;0540;
28/01/2022-14:47;Open;0075;0540;
28/01/2022-14:52;Open;0080;0540;
28/01/2022-14:57;Open;0082;0540;
28/01/2022-15:02;Open;0081;0540;
28/01/2022-15:07;Open;0084;0540;
28/01/2022-15:12;Open;0082;0540;
28/01/2022-15:17;Open;0080;0540;
28/01/2022-15:22;Open;0083;0540;
28/01/2022-15:27;Open;0087;0540;
28/01/2022-15:32;Open;0086;0540;
28/01/2022-15:37;Open;0085;0540;
28/01/2022-15:42;Open;0081;0540;
28/01/2022-15:47;Open;0085;0540;
28/01/2022-15:52;Open;0100;0540;
28/01/2022-15:57;Open;0109;0540;
28/01/2022-16:02;Open;0107;0540;
28/01/2022-16:07;Open;0111;0540;
28/01/2022-16:12;Open;0109;0540;
28/01/2022-16:17;Open;0109;0540;
28/01/2022-16:22;Open;0107;0540;
28/01/2022-16:27;Open;0105;0540;
28/01/2022-16:32;Open;0106;0540;
28/01/2022-16:37;Open;0103;0540;
28/01/2022-16:42;Open;0109;0540;
28/01/2022-16:47;Open;0108;0540;
28/01/2022-16:52;Open;0114;0540;
28/01/2022-16:57;Open;0111;0540;
28/01/2022-17:02;Open;0114;0540;
28/01/2022-17:07;Open;0115;0540;
28/01/2022-17:12;Open;0120;0540;
28/01/2022-17:17;Open;0120;0540;
28/01/2022-17:22;Open;0121;0540;
28/01/2022-17:27;Open;0119;0540;
28/01/2022-17:32;Open;0116;0540;
28/01/2022-17:37;Open;0117;0540;
28/01/2022-17:42;Open;0119;0540;
28/01/2022-17:47;Open;0117;0540;
28/01/2022-17:52;Open;0124;0540;
28/01/2022-17:57;Open;0125;0540;
28/01/2022-18:02;Open;0121;0540;
28/01/2022-18:07;Open;0125;0540;
28/01/2022-18:12;Open;0123;0540;
28/01/2022-18:17;Open;0123;0540;
28/01/2022-18:22;Open;0121;0540;
28/01/2022-18:27;Open;0117;0540;
28/01/2022-18:32;Open;0116;0540;
28/01/2022-18:37;Open;0115;0540;
28/01/2022-18:42;Open;0114;0540;
28/01/2022-18:47;Open;0113;0540;
28/01/2022-18:52;Open;0115;0540;
28/01/2022-18:57;Open;0118;0540;
28/01/2022-19:02;Open;0112;0540;
28/01/2022-19:07;Open;0110;0540;
28/01/2022-19:12;Open;0106;0540;
28/01/2022-19:17;Open;0094;0540;
28/01/2022-19:23;Open;0092;0540;
28/01/2022-19:28;Open;0088;0540;
28/01/2022-19:33;Open;0087;0540;
28/01/2022-19:38;Open;0081;0540;
