CapTime,Status,Free,Total
28/01/2022-04:07,Open,0174,0460,
28/01/2022-04:12,Open,0174,0460,
28/01/2022-04:17,Open,0174,0460,
28/01/2022-04:22,Open,0175,0460,
28/01/2022-04:27,Open,0175,0460,
28/01/2022-04:32,Open,0175,0460,
28/01/2022-04:37,Open,0175,0460,
28/01/2022-04:42,Open,0175,0460,
28/01/2022-04:47,Open,0176,0460,
28/01/2022-04:52,Open,0176,0460,
28/01/2022-04:57,Open,0176,0460,
28/01/2022-05:02,Open,0176,0460,
28/01/2022-05:07,Open,0176,0460,
28/01/2022-05:12,Open,0176,0460,
28/01/2022-05:17,Open,0176,0460,
28/01/2022-05:22,Open,0176,0460,
28/01/2022-05:27,Open,0176,0460,
28/01/2022-05:32,Open,0176,0460,
28/01/2022-05:37,Open,0176,0460,
28/01/2022-05:42,Open,0176,0460,
28/01/2022-05:47,Open,0176,0460,
28/01/2022-05:52,Open,0176,0460,
28/01/2022-05:57,Open,0176,0460,
28/01/2022-06:02,Open,0176,0460,
28/01/2022-06:07,Open,0176,0460,
28/01/2022-06:12,Open,0176,0460,
28/01/2022-06:17,Open,0176,0460,
28/01/2022-06:22,Open,0176,0460,
28/01/2022-06:27,Open,0176,0460,
28/01/2022-06:32,Open,0176,0460,
28/01/2022-06:37,Open,0176,0460,
28/01/2022-06:42,Open,0176,0460,
28/01/2022-06:47,Open,0176,0460,
28/01/2022-06:52,Open,0175,0460,
28/01/2022-06:57,Open,0175,0460,
28/01/2022-07:02,Open,0175,0460,
28/01/2022-07:07,Open,0174,0460,
28/01/2022-07:12,Open,0174,0460,
28/01/2022-07:17,Open,0174,0460,
28/01/2022-07:22,Open,0174,0460,
28/01/2022-07:27,Open,0174,0460,
28/01/2022-07:32,Open,0174,0460,
28/01/2022-07:37,Open,0172,0460,
28/01/2022-07:42,Open,0172,0460,
28/01/2022-07:47,Open,0171,0460,
28/01/2022-07:52,Open,0170,0460,
28/01/2022-07:57,Open,0170,0460,
28/01/2022-08:02,Open,0170,0460,
28/01/2022-08:07,Open,0167,0460,
28/01/2022-08:12,Open,0167,0460,
28/01/2022-08:17,Open,0166,0460,
28/01/2022-08:22,Open,0164,0460,
28/01/2022-08:27,Open,0162,0460,
28/01/2022-08:32,Open,0156,0460,
28/01/2022-08:37,Open,0154,0460,
28/01/2022-08:42,Open,0152,0460,
28/01/2022-08:47,Open,0150,0460,
28/01/2022-08:52,Open,0151,0460,
28/01/2022-08:57,Open,0151,0460,
28/01/2022-09:02,Open,0147,0460,
28/01/2022-09:07,Open,0145,0460,
28/01/2022-09:12,Open,0148,0460,
28/01/2022-09:17,Open,0143,0460,
28/01/2022-09:22,Open,0142,0460,
28/01/2022-09:27,Open,0141,0460,
28/01/2022-09:32,Open,0143,0460,
28/01/2022-09:37,Open,0144,0460,
28/01/2022-09:42,Open,0140,0460,
28/01/2022-09:47,Open,0141,0460,
28/01/2022-09:52,Open,0144,0460,
28/01/2022-09:57,Open,0142,0460,
28/01/2022-10:02,Open,0141,0460,
28/01/2022-10:07,Open,0140,0460,
28/01/2022-10:12,Open,0138,0460,
28/01/2022-10:17,Open,0133,0460,
28/01/2022-10:22,Open,0131,0460,
28/01/2022-10:27,Open,0129,0460,
28/01/2022-10:32,Open,0129,0460,
28/01/2022-10:37,Open,0125,0460,
28/01/2022-10:42,Open,0119,0460,
28/01/2022-10:47,Open,0119,0460,
28/01/2022-10:52,Open,0118,0460,
28/01/2022-10:57,Open,0116,0460,
28/01/2022-11:02,Open,0116,0460,
28/01/2022-11:07,Open,0114,0460,
28/01/2022-11:12,Open,0118,0460,
28/01/2022-11:17,Open,0116,0460,
28/01/2022-11:22,Open,0114,0460,
