CapTime,av,fr,to
27/01/2022-19:42,10,6,16,
27/01/2022-19:47,10,6,16,
27/01/2022-19:52,10,6,16,
27/01/2022-19:57,10,6,16,
27/01/2022-20:02,10,6,16,
27/01/2022-20:07,10,6,16,
27/01/2022-20:12,10,6,16,
27/01/2022-20:17,10,6,16,
27/01/2022-20:22,10,6,16,
27/01/2022-20:27,10,6,16,
27/01/2022-20:32,10,6,16,
27/01/2022-20:37,10,6,16,
27/01/2022-20:42,10,6,16,
27/01/2022-20:47,10,6,16,
27/01/2022-20:52,10,6,16,
27/01/2022-20:57,10,6,16,
27/01/2022-21:02,10,6,16,
27/01/2022-21:07,10,6,16,
27/01/2022-21:12,10,6,16,
27/01/2022-21:17,10,6,16,
27/01/2022-21:22,10,6,16,
27/01/2022-21:27,10,6,16,
27/01/2022-21:32,10,6,16,
27/01/2022-21:37,10,6,16,
27/01/2022-21:42,10,6,16,
27/01/2022-21:47,10,6,16,
27/01/2022-21:52,10,6,16,
27/01/2022-21:57,10,6,16,
27/01/2022-22:02,10,6,16,
27/01/2022-22:07,10,6,16,
27/01/2022-22:12,10,6,16,
27/01/2022-22:17,10,6,16,
27/01/2022-22:22,10,6,16,
27/01/2022-22:27,10,6,16,
27/01/2022-22:32,10,6,16,
27/01/2022-22:37,10,6,16,
27/01/2022-22:42,10,6,16,
27/01/2022-22:47,10,6,16,
27/01/2022-22:52,10,6,16,
27/01/2022-22:57,10,6,16,
27/01/2022-23:02,10,6,16,
27/01/2022-23:07,10,6,16,
27/01/2022-23:12,10,6,16,
27/01/2022-23:17,10,6,16,
27/01/2022-23:22,10,6,16,
27/01/2022-23:27,10,6,16,
27/01/2022-23:32,10,6,16,
27/01/2022-23:37,10,6,16,
27/01/2022-23:42,10,6,16,
27/01/2022-23:47,10,6,16,
27/01/2022-23:52,10,6,16,
27/01/2022-23:57,10,6,16,
28/01/2022-00:02,10,6,16,
28/01/2022-00:07,10,6,16,
28/01/2022-00:12,10,6,16,
28/01/2022-00:17,10,6,16,
28/01/2022-00:22,10,6,16,
28/01/2022-00:27,10,6,16,
28/01/2022-00:32,10,6,16,
28/01/2022-00:37,10,6,16,
28/01/2022-00:42,10,6,16,
28/01/2022-00:47,10,6,16,
28/01/2022-00:52,11,5,16,
28/01/2022-00:57,11,5,16,
28/01/2022-01:02,11,5,16,
28/01/2022-01:07,11,5,16,
28/01/2022-01:12,11,5,16,
28/01/2022-01:17,11,5,16,
