CapTime,av,fr,to
27/01/2022-19:42,6,6,12,
27/01/2022-19:47,5,7,12,
27/01/2022-19:52,2,10,12,
27/01/2022-19:57,2,10,12,
27/01/2022-20:02,2,10,12,
27/01/2022-20:07,2,10,12,
27/01/2022-20:12,1,11,12,
27/01/2022-20:17,1,11,12,
27/01/2022-20:22,1,11,12,
27/01/2022-20:27,1,11,12,
27/01/2022-20:32,1,11,12,
27/01/2022-20:37,1,11,12,
27/01/2022-20:42,1,11,12,
27/01/2022-20:47,2,10,12,
27/01/2022-20:52,2,10,12,
27/01/2022-20:57,2,10,12,
27/01/2022-21:02,2,10,12,
27/01/2022-21:07,3,9,12,
27/01/2022-21:12,3,9,12,
27/01/2022-21:17,3,9,12,
27/01/2022-21:22,3,9,12,
27/01/2022-21:27,3,9,12,
27/01/2022-21:32,3,9,12,
27/01/2022-21:37,3,9,12,
27/01/2022-21:42,3,9,12,
27/01/2022-21:47,4,8,12,
27/01/2022-21:52,4,8,12,
27/01/2022-21:57,5,7,12,
27/01/2022-22:02,5,7,12,
27/01/2022-22:07,5,7,12,
27/01/2022-22:12,5,7,12,
27/01/2022-22:17,5,7,12,
27/01/2022-22:22,5,7,12,
27/01/2022-22:27,5,7,12,
27/01/2022-22:32,5,7,12,
27/01/2022-22:37,5,7,12,
27/01/2022-22:42,5,7,12,
27/01/2022-22:47,5,7,12,
27/01/2022-22:52,5,7,12,
27/01/2022-22:57,5,7,12,
27/01/2022-23:02,5,7,12,
27/01/2022-23:07,5,7,12,
27/01/2022-23:12,5,7,12,
27/01/2022-23:17,3,9,12,
27/01/2022-23:22,3,9,12,
27/01/2022-23:27,3,9,12,
27/01/2022-23:32,3,9,12,
27/01/2022-23:37,3,9,12,
27/01/2022-23:42,3,9,12,
27/01/2022-23:47,3,9,12,
27/01/2022-23:52,3,9,12,
27/01/2022-23:57,3,9,12,
28/01/2022-00:02,3,9,12,
28/01/2022-00:07,3,9,12,
28/01/2022-00:12,3,9,12,
28/01/2022-00:17,3,9,12,
28/01/2022-00:22,3,9,12,
28/01/2022-00:27,3,9,12,
28/01/2022-00:32,3,9,12,
28/01/2022-00:37,3,9,12,
28/01/2022-00:42,3,9,12,
28/01/2022-00:47,4,8,12,
28/01/2022-00:52,4,8,12,
28/01/2022-00:57,4,8,12,
28/01/2022-01:02,4,8,12,
28/01/2022-01:07,4,8,12,
28/01/2022-01:12,4,8,12,
28/01/2022-01:17,3,9,12,
28/01/2022-01:22,3,9,12,
28/01/2022-01:27,3,9,12,
28/01/2022-01:32,7,5,12,
28/01/2022-01:37,8,4,12,
28/01/2022-01:42,9,3,12,
28/01/2022-01:47,11,1,12,
28/01/2022-01:52,12,0,12,
28/01/2022-01:57,12,0,12,
28/01/2022-02:02,12,0,12,
28/01/2022-02:07,12,0,12,
28/01/2022-02:12,12,0,12,
28/01/2022-02:17,11,1,12,
28/01/2022-02:22,11,1,12,
28/01/2022-02:27,12,0,12,
28/01/2022-02:32,12,0,12,
28/01/2022-02:37,12,0,12,
28/01/2022-02:42,12,0,12,
28/01/2022-02:47,12,0,12,
28/01/2022-02:52,12,0,12,
28/01/2022-02:57,12,0,12,
28/01/2022-03:02,11,1,12,
28/01/2022-03:07,11,1,12,
28/01/2022-03:12,11,1,12,
28/01/2022-03:17,10,2,12,
28/01/2022-03:22,9,3,12,
28/01/2022-03:27,9,3,12,
28/01/2022-03:32,9,3,12,
28/01/2022-03:37,9,3,12,
28/01/2022-03:42,9,3,12,
28/01/2022-03:47,9,3,12,
28/01/2022-03:52,9,3,12,
28/01/2022-03:57,9,3,12,
28/01/2022-04:02,9,3,12,
28/01/2022-04:07,9,3,12,
28/01/2022-04:12,9,3,12,
28/01/2022-04:17,9,3,12,
28/01/2022-04:22,9,3,12,
28/01/2022-04:27,9,3,12,
28/01/2022-04:32,9,3,12,
28/01/2022-04:37,9,3,12,
28/01/2022-04:42,9,3,12,
28/01/2022-04:47,9,3,12,
28/01/2022-04:52,9,3,12,
28/01/2022-04:57,9,3,12,
28/01/2022-05:02,9,3,12,
