CapTime,av,fr,to
27/01/2022-19:42,16,8,24,
27/01/2022-19:47,16,8,24,
27/01/2022-19:52,16,8,24,
27/01/2022-19:57,16,8,24,
27/01/2022-20:02,17,7,24,
27/01/2022-20:07,17,7,24,
27/01/2022-20:12,17,7,24,
27/01/2022-20:17,17,7,24,
27/01/2022-20:22,17,7,24,
27/01/2022-20:27,17,7,24,
27/01/2022-20:32,15,9,24,
27/01/2022-20:37,15,9,24,
27/01/2022-20:42,15,9,24,
27/01/2022-20:47,15,9,24,
27/01/2022-20:52,15,9,24,
27/01/2022-20:57,15,9,24,
27/01/2022-21:02,15,9,24,
27/01/2022-21:07,16,8,24,
27/01/2022-21:12,17,7,24,
27/01/2022-21:17,17,7,24,
27/01/2022-21:22,17,7,24,
27/01/2022-21:27,16,8,24,
27/01/2022-21:32,16,8,24,
27/01/2022-21:37,16,8,24,
27/01/2022-21:42,16,8,24,
27/01/2022-21:47,16,8,24,
27/01/2022-21:52,16,8,24,
27/01/2022-21:57,16,8,24,
27/01/2022-22:02,16,8,24,
27/01/2022-22:07,16,8,24,
27/01/2022-22:12,16,8,24,
27/01/2022-22:17,16,8,24,
27/01/2022-22:22,16,8,24,
27/01/2022-22:27,16,8,24,
27/01/2022-22:32,16,8,24,
27/01/2022-22:37,16,8,24,
27/01/2022-22:42,15,9,24,
27/01/2022-22:47,15,9,24,
27/01/2022-22:52,15,9,24,
27/01/2022-22:57,15,9,24,
27/01/2022-23:02,15,9,24,
27/01/2022-23:07,14,10,24,
27/01/2022-23:12,14,10,24,
27/01/2022-23:17,14,10,24,
27/01/2022-23:22,12,12,24,
27/01/2022-23:27,12,12,24,
27/01/2022-23:32,12,12,24,
27/01/2022-23:37,11,13,24,
27/01/2022-23:42,11,13,24,
27/01/2022-23:47,11,13,24,
27/01/2022-23:52,11,13,24,
27/01/2022-23:57,11,13,24,
28/01/2022-00:02,11,13,24,
28/01/2022-00:07,10,14,24,
28/01/2022-00:12,10,14,24,
28/01/2022-00:17,10,14,24,
28/01/2022-00:22,9,15,24,
28/01/2022-00:27,9,15,24,
28/01/2022-00:32,9,15,24,
28/01/2022-00:37,8,16,24,
28/01/2022-00:42,8,16,24,
28/01/2022-00:47,7,17,24,
28/01/2022-00:52,6,18,24,
28/01/2022-00:57,6,18,24,
28/01/2022-01:02,5,19,24,
28/01/2022-01:07,5,19,24,
28/01/2022-01:12,5,19,24,
28/01/2022-01:17,2,22,24,
28/01/2022-01:22,0,24,24,
28/01/2022-01:27,0,24,24,
28/01/2022-01:32,0,24,24,
28/01/2022-01:37,0,24,24,
28/01/2022-01:42,0,24,24,
28/01/2022-01:47,0,24,24,
28/01/2022-01:52,0,24,24,
28/01/2022-01:57,0,24,24,
28/01/2022-02:02,0,24,24,
28/01/2022-02:07,1,23,24,
28/01/2022-02:12,0,24,24,
28/01/2022-02:17,0,24,24,
28/01/2022-02:22,0,24,24,
28/01/2022-02:27,0,24,24,
28/01/2022-02:32,0,24,24,
28/01/2022-02:37,0,24,24,
28/01/2022-02:42,0,24,24,
28/01/2022-02:47,0,24,24,
28/01/2022-02:52,0,24,24,
28/01/2022-02:57,0,24,24,
28/01/2022-03:02,0,24,24,
28/01/2022-03:07,0,24,24,
