CapTime,av,fr,to
27/01/2022-19:42,3,5,8,
27/01/2022-19:47,3,5,8,
27/01/2022-19:52,3,5,8,
27/01/2022-19:57,3,5,8,
27/01/2022-20:02,3,5,8,
27/01/2022-20:07,3,5,8,
27/01/2022-20:12,3,5,8,
27/01/2022-20:17,3,5,8,
27/01/2022-20:22,3,5,8,
27/01/2022-20:27,3,5,8,
27/01/2022-20:32,3,5,8,
27/01/2022-20:37,3,5,8,
27/01/2022-20:42,3,5,8,
27/01/2022-20:47,3,5,8,
27/01/2022-20:52,3,5,8,
27/01/2022-20:57,3,5,8,
27/01/2022-21:02,3,5,8,
27/01/2022-21:07,4,4,8,
27/01/2022-21:12,4,4,8,
27/01/2022-21:17,4,4,8,
27/01/2022-21:22,4,4,8,
27/01/2022-21:27,4,4,8,
27/01/2022-21:32,4,4,8,
27/01/2022-21:37,4,4,8,
27/01/2022-21:42,4,4,8,
27/01/2022-21:47,4,4,8,
27/01/2022-21:52,4,4,8,
27/01/2022-21:57,4,4,8,
27/01/2022-22:02,4,4,8,
27/01/2022-22:07,4,4,8,
27/01/2022-22:12,4,4,8,
27/01/2022-22:17,4,4,8,
27/01/2022-22:22,4,4,8,
27/01/2022-22:27,4,4,8,
27/01/2022-22:32,4,4,8,
27/01/2022-22:37,4,4,8,
27/01/2022-22:42,4,4,8,
27/01/2022-22:47,4,4,8,
27/01/2022-22:52,4,4,8,
27/01/2022-22:57,4,4,8,
27/01/2022-23:02,4,4,8,
27/01/2022-23:07,4,4,8,
27/01/2022-23:12,4,4,8,
27/01/2022-23:17,4,4,8,
27/01/2022-23:22,4,4,8,
27/01/2022-23:27,4,4,8,
27/01/2022-23:32,4,4,8,
27/01/2022-23:37,4,4,8,
27/01/2022-23:42,4,4,8,
27/01/2022-23:47,4,4,8,
27/01/2022-23:52,4,4,8,
27/01/2022-23:57,4,4,8,
28/01/2022-00:02,4,4,8,
28/01/2022-00:07,4,4,8,
28/01/2022-00:12,4,4,8,
28/01/2022-00:17,4,4,8,
28/01/2022-00:22,4,4,8,
28/01/2022-00:27,4,4,8,
28/01/2022-00:32,4,4,8,
28/01/2022-00:37,4,4,8,
28/01/2022-00:42,4,4,8,
28/01/2022-00:47,4,4,8,
28/01/2022-00:52,4,4,8,
28/01/2022-00:57,4,4,8,
28/01/2022-01:02,4,4,8,
28/01/2022-01:07,4,4,8,
28/01/2022-01:12,4,4,8,
28/01/2022-01:17,4,4,8,
28/01/2022-01:22,4,4,8,
28/01/2022-01:27,4,4,8,
28/01/2022-01:32,4,4,8,
28/01/2022-01:37,4,4,8,
28/01/2022-01:42,4,4,8,
28/01/2022-01:47,4,4,8,
28/01/2022-01:52,4,4,8,
28/01/2022-01:57,4,4,8,
28/01/2022-02:02,4,4,8,
28/01/2022-02:07,4,4,8,
28/01/2022-02:12,4,4,8,
28/01/2022-02:17,4,4,8,
28/01/2022-02:22,4,4,8,
28/01/2022-02:27,4,4,8,
28/01/2022-02:32,4,4,8,
28/01/2022-02:37,4,4,8,
28/01/2022-02:42,4,4,8,
28/01/2022-02:47,4,4,8,
28/01/2022-02:52,4,4,8,
28/01/2022-02:57,4,4,8,
28/01/2022-03:02,4,4,8,
28/01/2022-03:07,4,4,8,
28/01/2022-03:12,4,4,8,
28/01/2022-03:17,4,4,8,
28/01/2022-03:22,4,4,8,
28/01/2022-03:27,4,4,8,
28/01/2022-03:32,4,4,8,
28/01/2022-03:37,4,4,8,
28/01/2022-03:42,4,4,8,
28/01/2022-03:47,4,4,8,
28/01/2022-03:52,4,4,8,
28/01/2022-03:57,4,4,8,
28/01/2022-04:02,4,4,8,
28/01/2022-04:07,4,4,8,
28/01/2022-04:12,4,4,8,
28/01/2022-04:17,4,4,8,
28/01/2022-04:22,4,4,8,
28/01/2022-04:27,4,4,8,
28/01/2022-04:32,4,4,8,
28/01/2022-04:37,4,4,8,
28/01/2022-04:42,4,4,8,
28/01/2022-04:47,4,4,8,
28/01/2022-04:52,4,4,8,
28/01/2022-04:57,4,4,8,
28/01/2022-05:02,4,4,8,
28/01/2022-05:07,4,4,8,
28/01/2022-05:12,4,4,8,
28/01/2022-05:17,4,4,8,
28/01/2022-05:22,4,4,8,
28/01/2022-05:27,4,4,8,
28/01/2022-05:32,4,4,8,
28/01/2022-05:37,4,4,8,
28/01/2022-05:42,4,4,8,
28/01/2022-05:47,4,4,8,
28/01/2022-05:52,4,4,8,
28/01/2022-05:57,4,4,8,
28/01/2022-06:02,4,4,8,
28/01/2022-06:07,4,4,8,
28/01/2022-06:12,4,4,8,
28/01/2022-06:17,4,4,8,
28/01/2022-06:22,4,4,8,
28/01/2022-06:27,4,4,8,
28/01/2022-06:32,4,4,8,
28/01/2022-06:37,4,4,8,
28/01/2022-06:42,4,4,8,
28/01/2022-06:47,4,4,8,
28/01/2022-06:52,4,4,8,
28/01/2022-06:57,4,4,8,
28/01/2022-07:02,4,4,8,
28/01/2022-07:07,4,4,8,
28/01/2022-07:12,4,4,8,
28/01/2022-07:17,4,4,8,
28/01/2022-07:22,4,4,8,
28/01/2022-07:27,4,4,8,
28/01/2022-07:32,4,4,8,
28/01/2022-07:37,4,4,8,
28/01/2022-07:42,4,4,8,
28/01/2022-07:47,4,4,8,
28/01/2022-07:52,4,4,8,
28/01/2022-07:57,4,4,8,
28/01/2022-08:02,4,4,8,
28/01/2022-08:07,4,4,8,
28/01/2022-08:12,4,4,8,
28/01/2022-08:17,4,4,8,
28/01/2022-08:22,4,4,8,
