CapTime;av;fr;to
27/01/2022-19:42;4;12;16;
27/01/2022-19:47;4;12;16;
27/01/2022-19:52;3;13;16;
27/01/2022-19:57;4;12;16;
27/01/2022-20:02;4;12;16;
27/01/2022-20:07;4;12;16;
27/01/2022-20:12;4;12;16;
27/01/2022-20:17;4;12;16;
27/01/2022-20:22;4;12;16;
27/01/2022-20:27;4;12;16;
27/01/2022-20:32;4;12;16;
27/01/2022-20:37;4;12;16;
27/01/2022-20:42;5;11;16;
27/01/2022-20:47;5;11;16;
27/01/2022-20:52;5;11;16;
27/01/2022-20:57;4;12;16;
27/01/2022-21:02;4;12;16;
27/01/2022-21:07;4;12;16;
27/01/2022-21:12;4;12;16;
27/01/2022-21:17;4;12;16;
27/01/2022-21:22;4;12;16;
27/01/2022-21:27;4;12;16;
27/01/2022-21:32;4;12;16;
27/01/2022-21:37;4;12;16;
27/01/2022-21:42;4;12;16;
27/01/2022-21:47;4;12;16;
27/01/2022-21:52;3;13;16;
27/01/2022-21:57;3;13;16;
27/01/2022-22:02;3;13;16;
27/01/2022-22:07;3;13;16;
27/01/2022-22:12;3;13;16;
27/01/2022-22:17;4;12;16;
27/01/2022-22:22;4;12;16;
27/01/2022-22:27;4;12;16;
27/01/2022-22:32;4;12;16;
27/01/2022-22:37;4;12;16;
27/01/2022-22:42;4;12;16;
27/01/2022-22:47;6;10;16;
27/01/2022-22:52;6;10;16;
27/01/2022-22:57;6;10;16;
27/01/2022-23:02;6;10;16;
27/01/2022-23:07;6;10;16;
27/01/2022-23:12;6;10;16;
27/01/2022-23:17;6;10;16;
27/01/2022-23:22;6;10;16;
27/01/2022-23:27;6;10;16;
27/01/2022-23:32;6;10;16;
27/01/2022-23:37;6;10;16;
27/01/2022-23:42;6;10;16;
27/01/2022-23:47;6;10;16;
27/01/2022-23:52;6;10;16;
27/01/2022-23:57;7;9;16;
28/01/2022-00:02;7;9;16;
28/01/2022-00:07;7;9;16;
28/01/2022-00:12;7;9;16;
28/01/2022-00:17;7;9;16;
28/01/2022-00:22;7;9;16;
28/01/2022-00:27;7;9;16;
28/01/2022-00:32;7;9;16;
28/01/2022-00:37;7;9;16;
28/01/2022-00:42;7;9;16;
28/01/2022-00:47;7;9;16;
28/01/2022-00:52;7;9;16;
28/01/2022-00:57;7;9;16;
28/01/2022-01:02;7;9;16;
28/01/2022-01:07;7;9;16;
28/01/2022-01:12;7;9;16;
28/01/2022-01:17;5;11;16;
28/01/2022-01:22;1;15;16;
28/01/2022-01:27;1;15;16;
28/01/2022-01:32;1;15;16;
28/01/2022-01:37;1;15;16;
28/01/2022-01:42;1;15;16;
28/01/2022-01:47;1;15;16;
28/01/2022-01:52;0;16;16;
28/01/2022-01:57;0;16;16;
28/01/2022-02:02;0;16;16;
28/01/2022-02:07;0;16;16;
28/01/2022-02:12;0;16;16;
28/01/2022-02:17;0;16;16;
28/01/2022-02:22;1;15;16;
28/01/2022-02:27;1;15;16;
28/01/2022-02:32;1;15;16;
28/01/2022-02:37;1;15;16;
28/01/2022-02:42;1;15;16;
28/01/2022-02:47;1;15;16;
28/01/2022-02:52;2;14;16;
28/01/2022-02:57;3;13;16;
28/01/2022-03:02;7;9;16;
28/01/2022-03:07;7;9;16;
28/01/2022-03:12;7;9;16;
28/01/2022-03:17;7;9;16;
28/01/2022-03:22;7;9;16;
28/01/2022-03:27;7;9;16;
28/01/2022-03:32;7;9;16;
28/01/2022-03:37;7;9;16;
28/01/2022-03:42;7;9;16;
28/01/2022-03:47;7;9;16;
28/01/2022-03:52;7;9;16;
28/01/2022-03:57;7;9;16;
28/01/2022-04:02;7;9;16;
28/01/2022-04:07;7;9;16;
28/01/2022-04:12;7;9;16;
28/01/2022-04:17;7;9;16;
28/01/2022-04:22;7;9;16;
28/01/2022-04:27;7;9;16;
28/01/2022-04:32;7;9;16;
28/01/2022-04:37;7;9;16;
28/01/2022-04:42;7;9;16;
28/01/2022-04:47;7;9;16;
28/01/2022-04:52;7;9;16;
28/01/2022-04:57;7;9;16;
28/01/2022-05:02;7;9;16;
28/01/2022-05:07;7;9;16;
28/01/2022-05:12;7;9;16;
28/01/2022-05:17;7;9;16;
28/01/2022-05:22;7;9;16;
28/01/2022-05:27;7;9;16;
28/01/2022-05:32;7;9;16;
28/01/2022-05:37;7;9;16;
28/01/2022-05:42;7;9;16;
28/01/2022-05:47;7;9;16;
28/01/2022-05:52;7;9;16;
28/01/2022-05:57;7;9;16;
28/01/2022-06:02;7;9;16;
28/01/2022-06:07;7;9;16;
28/01/2022-06:12;7;9;16;
28/01/2022-06:17;7;9;16;
28/01/2022-06:22;7;9;16;
28/01/2022-06:27;7;9;16;
28/01/2022-06:32;7;9;16;
28/01/2022-06:37;7;9;16;
28/01/2022-06:42;7;9;16;
28/01/2022-06:47;7;9;16;
28/01/2022-06:52;7;9;16;
28/01/2022-06:57;7;9;16;
28/01/2022-07:02;7;9;16;
28/01/2022-07:07;7;9;16;
28/01/2022-07:12;7;9;16;
28/01/2022-07:17;7;9;16;
28/01/2022-07:22;6;10;16;
28/01/2022-07:27;6;10;16;
28/01/2022-07:32;6;10;16;
28/01/2022-07:37;6;10;16;
28/01/2022-07:42;6;10;16;
28/01/2022-07:47;6;10;16;
28/01/2022-07:52;6;10;16;
28/01/2022-07:57;6;10;16;
28/01/2022-08:02;6;10;16;
28/01/2022-08:07;6;10;16;
28/01/2022-08:12;6;10;16;
28/01/2022-08:17;6;10;16;
28/01/2022-08:22;6;10;16;
28/01/2022-08:27;6;10;16;
28/01/2022-08:32;6;10;16;
28/01/2022-08:37;6;10;16;
28/01/2022-08:42;6;10;16;
28/01/2022-08:47;6;10;16;
28/01/2022-08:52;6;10;16;
28/01/2022-08:57;6;10;16;
28/01/2022-09:02;6;10;16;
28/01/2022-09:07;6;10;16;
28/01/2022-09:12;6;10;16;
28/01/2022-09:17;7;9;16;
28/01/2022-09:22;7;9;16;
28/01/2022-09:27;7;9;16;
28/01/2022-09:32;8;8;16;
28/01/2022-09:37;8;8;16;
28/01/2022-09:42;8;8;16;
28/01/2022-09:47;8;8;16;
28/01/2022-09:52;8;8;16;
28/01/2022-09:57;8;8;16;
28/01/2022-10:02;7;9;16;
28/01/2022-10:07;7;9;16;
28/01/2022-10:12;7;9;16;
28/01/2022-10:17;7;9;16;
28/01/2022-10:22;6;10;16;
28/01/2022-10:27;6;10;16;
28/01/2022-10:32;6;10;16;
28/01/2022-10:37;6;10;16;
28/01/2022-10:42;6;10;16;
28/01/2022-10:47;5;11;16;
28/01/2022-10:52;5;11;16;
28/01/2022-10:57;5;11;16;
28/01/2022-11:02;5;11;16;
28/01/2022-11:07;5;11;16;
28/01/2022-11:12;5;11;16;
28/01/2022-11:17;5;11;16;
28/01/2022-11:22;5;11;16;
28/01/2022-11:27;5;11;16;
28/01/2022-11:32;5;11;16;
28/01/2022-11:37;5;11;16;
28/01/2022-11:42;5;11;16;
28/01/2022-11:47;5;11;16;
28/01/2022-11:52;5;11;16;
28/01/2022-11:57;5;11;16;
28/01/2022-12:02;4;12;16;
28/01/2022-12:07;4;12;16;
28/01/2022-12:12;4;12;16;
28/01/2022-12:17;4;12;16;
28/01/2022-12:22;6;10;16;
28/01/2022-12:27;6;10;16;
28/01/2022-12:32;6;10;16;
28/01/2022-12:37;6;10;16;
28/01/2022-12:42;6;10;16;
28/01/2022-12:47;5;11;16;
28/01/2022-12:52;3;13;16;
28/01/2022-12:57;3;13;16;
28/01/2022-13:02;3;13;16;
28/01/2022-13:07;4;12;16;
