CapTime;av;fr;to
24/01/2022-22:54;11;1;12;
24/01/2022-22:59;11;1;12;
24/01/2022-23:04;11;1;12;
24/01/2022-23:09;11;1;12;
24/01/2022-23:14;11;1;12;
24/01/2022-23:19;11;1;12;
24/01/2022-23:24;11;1;12;
24/01/2022-23:29;11;1;12;
24/01/2022-23:34;11;1;12;
24/01/2022-23:39;11;1;12;
24/01/2022-23:44;11;1;12;
24/01/2022-23:49;11;1;12;
24/01/2022-23:54;11;1;12;
24/01/2022-23:59;11;1;12;
25/01/2022-00:04;11;1;12;
25/01/2022-00:09;11;1;12;
25/01/2022-00:14;11;1;12;
25/01/2022-00:19;11;1;12;
25/01/2022-00:24;11;1;12;
25/01/2022-00:29;11;1;12;
25/01/2022-00:34;11;1;12;
25/01/2022-00:39;11;1;12;
25/01/2022-00:44;11;1;12;
25/01/2022-00:49;11;1;12;
25/01/2022-00:54;11;1;12;
25/01/2022-00:59;11;1;12;
25/01/2022-01:04;11;1;12;
25/01/2022-01:09;11;1;12;
25/01/2022-01:14;11;1;12;
25/01/2022-01:19;11;1;12;
25/01/2022-01:24;11;1;12;
25/01/2022-01:29;11;1;12;
25/01/2022-01:34;11;1;12;
25/01/2022-01:39;11;1;12;
25/01/2022-01:44;11;1;12;
25/01/2022-01:49;11;1;12;
25/01/2022-01:54;11;1;12;
25/01/2022-01:59;11;1;12;
25/01/2022-02:04;11;1;12;
25/01/2022-02:09;11;1;12;
25/01/2022-02:14;11;1;12;
25/01/2022-02:19;11;1;12;
25/01/2022-02:24;11;1;12;
25/01/2022-02:29;11;1;12;
25/01/2022-02:34;11;1;12;
25/01/2022-02:39;11;1;12;
25/01/2022-02:44;11;1;12;
25/01/2022-02:49;11;1;12;
25/01/2022-02:54;11;1;12;
25/01/2022-02:59;11;1;12;
25/01/2022-03:04;11;1;12;
25/01/2022-03:09;11;1;12;
25/01/2022-03:14;11;1;12;
25/01/2022-03:19;11;1;12;
25/01/2022-03:24;11;1;12;
25/01/2022-03:29;11;1;12;
25/01/2022-03:34;11;1;12;
25/01/2022-03:39;11;1;12;
25/01/2022-03:44;11;1;12;
25/01/2022-03:49;11;1;12;
25/01/2022-03:54;11;1;12;
25/01/2022-03:59;11;1;12;
25/01/2022-04:04;11;1;12;
25/01/2022-04:09;11;1;12;
25/01/2022-04:14;11;1;12;
25/01/2022-04:19;11;1;12;
25/01/2022-04:24;11;1;12;
25/01/2022-04:29;11;1;12;
25/01/2022-04:34;11;1;12;
25/01/2022-04:39;11;1;12;
25/01/2022-04:44;11;1;12;
25/01/2022-04:49;11;1;12;
25/01/2022-04:54;11;1;12;
25/01/2022-04:59;11;1;12;
25/01/2022-05:04;11;1;12;
25/01/2022-05:09;11;1;12;
25/01/2022-05:14;11;1;12;
25/01/2022-05:19;11;1;12;
25/01/2022-05:24;11;1;12;
25/01/2022-05:29;11;1;12;
25/01/2022-05:34;11;1;12;
25/01/2022-05:39;11;1;12;
25/01/2022-05:44;11;1;12;
25/01/2022-05:49;11;1;12;
25/01/2022-05:54;11;1;12;
25/01/2022-05:59;11;1;12;
25/01/2022-06:04;11;1;12;
25/01/2022-06:09;11;1;12;
25/01/2022-06:14;10;2;12;
25/01/2022-06:19;10;2;12;
25/01/2022-06:24;10;2;12;
25/01/2022-06:29;10;2;12;
25/01/2022-06:34;10;2;12;
25/01/2022-06:39;10;2;12;
25/01/2022-06:44;10;2;12;
25/01/2022-06:49;10;2;12;
25/01/2022-06:54;10;2;12;
25/01/2022-06:59;10;2;12;
25/01/2022-07:04;10;2;12;
25/01/2022-07:09;10;2;12;
25/01/2022-07:14;10;2;12;
25/01/2022-07:19;10;2;12;
25/01/2022-07:24;10;2;12;
25/01/2022-07:29;10;2;12;
25/01/2022-07:34;10;2;12;
25/01/2022-07:39;10;2;12;
25/01/2022-07:44;10;2;12;
25/01/2022-07:49;10;2;12;
25/01/2022-07:54;10;2;12;
25/01/2022-07:59;10;2;12;
25/01/2022-08:04;10;2;12;
25/01/2022-08:09;10;2;12;
25/01/2022-08:14;10;2;12;
25/01/2022-08:19;10;2;12;
25/01/2022-08:24;10;2;12;
25/01/2022-08:29;10;2;12;
25/01/2022-08:34;10;2;12;
25/01/2022-08:39;11;1;12;
25/01/2022-08:44;11;1;12;
25/01/2022-08:49;11;1;12;
25/01/2022-08:54;11;1;12;
25/01/2022-08:59;11;1;12;
25/01/2022-09:04;11;1;12;
25/01/2022-09:09;11;1;12;
25/01/2022-09:14;11;1;12;
25/01/2022-09:19;11;1;12;
25/01/2022-09:24;11;1;12;
25/01/2022-09:29;11;1;12;
25/01/2022-09:34;11;1;12;
25/01/2022-09:39;11;1;12;
25/01/2022-09:44;11;1;12;
25/01/2022-09:49;11;1;12;
25/01/2022-09:54;11;1;12;
