CapTime,av,fr,to
27/01/2022-19:42,5,19,24,
27/01/2022-19:47,5,19,24,
27/01/2022-19:52,5,19,24,
27/01/2022-19:57,4,20,24,
27/01/2022-20:02,4,20,24,
27/01/2022-20:07,3,21,24,
27/01/2022-20:12,3,21,24,
27/01/2022-20:17,3,21,24,
27/01/2022-20:22,3,21,24,
27/01/2022-20:27,3,21,24,
27/01/2022-20:32,2,22,24,
27/01/2022-20:37,1,23,24,
27/01/2022-20:42,2,22,24,
27/01/2022-20:47,2,22,24,
27/01/2022-20:52,1,23,24,
27/01/2022-20:57,1,23,24,
27/01/2022-21:02,1,23,24,
27/01/2022-21:07,1,23,24,
27/01/2022-21:12,1,23,24,
27/01/2022-21:17,1,23,24,
27/01/2022-21:22,1,23,24,
27/01/2022-21:27,1,23,24,
27/01/2022-21:32,1,23,24,
27/01/2022-21:37,1,23,24,
27/01/2022-21:42,1,23,24,
27/01/2022-21:47,1,23,24,
27/01/2022-21:52,1,23,24,
27/01/2022-21:57,1,23,24,
27/01/2022-22:02,1,23,24,
27/01/2022-22:07,1,23,24,
27/01/2022-22:12,1,23,24,
27/01/2022-22:17,1,23,24,
27/01/2022-22:22,1,23,24,
27/01/2022-22:27,1,23,24,
27/01/2022-22:32,1,23,24,
27/01/2022-22:37,1,23,24,
27/01/2022-22:42,1,23,24,
27/01/2022-22:47,1,23,24,
27/01/2022-22:52,1,23,24,
27/01/2022-22:57,1,23,24,
27/01/2022-23:02,1,23,24,
27/01/2022-23:07,1,23,24,
27/01/2022-23:12,1,23,24,
27/01/2022-23:17,1,23,24,
27/01/2022-23:22,2,22,24,
27/01/2022-23:27,2,22,24,
27/01/2022-23:32,2,22,24,
27/01/2022-23:37,2,22,24,
27/01/2022-23:42,2,22,24,
27/01/2022-23:47,2,22,24,
27/01/2022-23:52,2,22,24,
27/01/2022-23:57,2,22,24,
28/01/2022-00:02,2,22,24,
28/01/2022-00:07,2,22,24,
28/01/2022-00:12,2,22,24,
28/01/2022-00:17,1,23,24,
28/01/2022-00:22,1,23,24,
28/01/2022-00:27,1,23,24,
28/01/2022-00:32,1,23,24,
28/01/2022-00:37,1,23,24,
28/01/2022-00:42,1,23,24,
28/01/2022-00:47,0,24,24,
28/01/2022-00:52,0,24,24,
28/01/2022-00:57,0,24,24,
28/01/2022-01:02,0,24,24,
28/01/2022-01:07,2,22,24,
28/01/2022-01:12,2,22,24,
28/01/2022-01:17,2,22,24,
28/01/2022-01:22,2,22,24,
28/01/2022-01:27,2,22,24,
28/01/2022-01:32,2,22,24,
28/01/2022-01:37,2,22,24,
28/01/2022-01:42,2,22,24,
28/01/2022-01:47,3,21,24,
28/01/2022-01:52,3,21,24,
28/01/2022-01:57,3,21,24,
28/01/2022-02:02,7,17,24,
28/01/2022-02:07,8,16,24,
28/01/2022-02:12,8,16,24,
28/01/2022-02:17,8,16,24,
28/01/2022-02:22,8,16,24,
28/01/2022-02:27,8,16,24,
28/01/2022-02:32,8,16,24,
28/01/2022-02:37,8,16,24,
28/01/2022-02:42,8,16,24,
28/01/2022-02:47,8,16,24,
28/01/2022-02:52,8,16,24,
28/01/2022-02:57,8,16,24,
