CapTime;av;fr;to
27/01/2022-19:42;8;24;32;
27/01/2022-19:47;8;24;32;
27/01/2022-19:52;8;24;32;
27/01/2022-19:57;8;24;32;
27/01/2022-20:02;8;24;32;
27/01/2022-20:07;8;24;32;
27/01/2022-20:12;8;24;32;
27/01/2022-20:17;10;22;32;
27/01/2022-20:22;10;22;32;
27/01/2022-20:27;9;23;32;
27/01/2022-20:32;9;23;32;
27/01/2022-20:37;9;23;32;
27/01/2022-20:42;9;23;32;
27/01/2022-20:47;9;23;32;
27/01/2022-20:52;7;25;32;
27/01/2022-20:57;7;25;32;
27/01/2022-21:02;7;25;32;
27/01/2022-21:07;7;25;32;
27/01/2022-21:12;7;25;32;
27/01/2022-21:17;7;25;32;
27/01/2022-21:22;7;25;32;
27/01/2022-21:27;7;25;32;
27/01/2022-21:32;7;25;32;
27/01/2022-21:37;7;25;32;
27/01/2022-21:42;7;25;32;
27/01/2022-21:47;7;25;32;
27/01/2022-21:52;7;25;32;
27/01/2022-21:57;7;25;32;
27/01/2022-22:02;7;25;32;
27/01/2022-22:07;7;25;32;
27/01/2022-22:12;7;25;32;
27/01/2022-22:17;7;25;32;
27/01/2022-22:22;6;26;32;
27/01/2022-22:27;5;27;32;
27/01/2022-22:32;5;27;32;
27/01/2022-22:37;6;26;32;
27/01/2022-22:42;6;26;32;
27/01/2022-22:47;9;23;32;
27/01/2022-22:52;11;21;32;
27/01/2022-22:57;11;21;32;
27/01/2022-23:02;11;21;32;
27/01/2022-23:07;11;21;32;
27/01/2022-23:12;11;21;32;
27/01/2022-23:17;11;21;32;
27/01/2022-23:22;11;21;32;
27/01/2022-23:27;11;21;32;
27/01/2022-23:32;11;21;32;
27/01/2022-23:37;11;21;32;
27/01/2022-23:42;11;21;32;
27/01/2022-23:47;11;21;32;
27/01/2022-23:52;11;21;32;
27/01/2022-23:57;11;21;32;
28/01/2022-00:02;11;21;32;
28/01/2022-00:07;11;21;32;
28/01/2022-00:12;11;21;32;
28/01/2022-00:17;11;21;32;
28/01/2022-00:22;11;21;32;
28/01/2022-00:27;11;21;32;
28/01/2022-00:32;9;23;32;
28/01/2022-00:37;8;24;32;
28/01/2022-00:42;8;24;32;
28/01/2022-00:47;8;24;32;
