CapTime;av;fr;to
27/01/2022-19:42;0;16;16;
27/01/2022-19:47;0;16;16;
27/01/2022-19:52;0;16;16;
27/01/2022-19:57;0;16;16;
27/01/2022-20:02;1;15;16;
27/01/2022-20:07;0;16;16;
27/01/2022-20:12;1;15;16;
27/01/2022-20:17;0;16;16;
27/01/2022-20:22;0;16;16;
27/01/2022-20:27;0;16;16;
27/01/2022-20:32;0;16;16;
27/01/2022-20:37;0;16;16;
27/01/2022-20:42;0;16;16;
27/01/2022-20:47;0;16;16;
27/01/2022-20:52;0;16;16;
27/01/2022-20:57;0;16;16;
27/01/2022-21:02;0;16;16;
27/01/2022-21:07;0;16;16;
27/01/2022-21:12;0;16;16;
27/01/2022-21:17;0;16;16;
27/01/2022-21:22;0;16;16;
27/01/2022-21:27;0;16;16;
27/01/2022-21:32;0;16;16;
27/01/2022-21:37;0;16;16;
27/01/2022-21:42;0;16;16;
27/01/2022-21:47;0;16;16;
27/01/2022-21:52;0;16;16;
27/01/2022-21:57;0;16;16;
27/01/2022-22:02;0;16;16;
27/01/2022-22:07;0;16;16;
27/01/2022-22:12;0;16;16;
27/01/2022-22:17;0;16;16;
27/01/2022-22:22;0;16;16;
27/01/2022-22:27;0;16;16;
27/01/2022-22:32;0;16;16;
27/01/2022-22:37;0;16;16;
27/01/2022-22:42;0;16;16;
27/01/2022-22:47;0;16;16;
27/01/2022-22:52;0;16;16;
27/01/2022-22:57;0;16;16;
27/01/2022-23:02;0;16;16;
27/01/2022-23:07;0;16;16;
27/01/2022-23:12;0;16;16;
27/01/2022-23:17;0;16;16;
27/01/2022-23:22;0;16;16;
27/01/2022-23:27;0;16;16;
27/01/2022-23:32;0;16;16;
27/01/2022-23:37;0;16;16;
27/01/2022-23:42;0;16;16;
27/01/2022-23:47;0;16;16;
27/01/2022-23:52;0;16;16;
27/01/2022-23:57;0;16;16;
28/01/2022-00:02;0;16;16;
28/01/2022-00:07;0;16;16;
28/01/2022-00:12;0;16;16;
28/01/2022-00:17;0;16;16;
28/01/2022-00:22;0;16;16;
28/01/2022-00:27;0;16;16;
28/01/2022-00:32;0;16;16;
28/01/2022-00:37;0;16;16;
28/01/2022-00:42;0;16;16;
28/01/2022-00:47;0;16;16;
28/01/2022-00:52;0;16;16;
28/01/2022-00:57;0;16;16;
28/01/2022-01:02;0;16;16;
28/01/2022-01:07;0;16;16;
28/01/2022-01:12;0;16;16;
28/01/2022-01:17;0;16;16;
28/01/2022-01:22;0;16;16;
28/01/2022-01:27;0;16;16;
28/01/2022-01:32;0;16;16;
28/01/2022-01:37;0;16;16;
28/01/2022-01:42;0;16;16;
28/01/2022-01:47;0;16;16;
28/01/2022-01:52;2;14;16;
28/01/2022-01:57;2;14;16;
28/01/2022-02:02;2;14;16;
28/01/2022-02:07;2;14;16;
28/01/2022-02:12;2;14;16;
28/01/2022-02:17;2;14;16;
28/01/2022-02:22;2;14;16;
