CapTime;av;fr;to
27/01/2022-19:42;5;3;8;
27/01/2022-19:47;5;3;8;
27/01/2022-19:52;5;3;8;
27/01/2022-19:57;5;3;8;
27/01/2022-20:02;5;3;8;
27/01/2022-20:07;5;3;8;
27/01/2022-20:12;5;3;8;
27/01/2022-20:17;5;3;8;
27/01/2022-20:22;5;3;8;
27/01/2022-20:27;5;3;8;
27/01/2022-20:32;5;3;8;
27/01/2022-20:37;5;3;8;
27/01/2022-20:42;5;3;8;
27/01/2022-20:47;7;1;8;
27/01/2022-20:52;7;1;8;
27/01/2022-20:57;7;1;8;
27/01/2022-21:02;7;1;8;
27/01/2022-21:07;7;1;8;
27/01/2022-21:12;7;1;8;
27/01/2022-21:17;7;1;8;
27/01/2022-21:22;7;1;8;
27/01/2022-21:27;7;1;8;
27/01/2022-21:32;7;1;8;
27/01/2022-21:37;7;1;8;
27/01/2022-21:42;7;1;8;
27/01/2022-21:47;7;1;8;
27/01/2022-21:52;7;1;8;
27/01/2022-21:57;7;1;8;
27/01/2022-22:02;7;1;8;
27/01/2022-22:07;7;1;8;
27/01/2022-22:12;8;0;8;
27/01/2022-22:17;8;0;8;
27/01/2022-22:22;8;0;8;
27/01/2022-22:27;8;0;8;
27/01/2022-22:32;8;0;8;
27/01/2022-22:37;8;0;8;
27/01/2022-22:42;8;0;8;
27/01/2022-22:47;8;0;8;
27/01/2022-22:52;8;0;8;
27/01/2022-22:57;8;0;8;
27/01/2022-23:02;8;0;8;
27/01/2022-23:07;8;0;8;
27/01/2022-23:12;8;0;8;
27/01/2022-23:17;8;0;8;
27/01/2022-23:22;8;0;8;
27/01/2022-23:27;8;0;8;
27/01/2022-23:32;8;0;8;
27/01/2022-23:37;8;0;8;
27/01/2022-23:42;8;0;8;
27/01/2022-23:47;8;0;8;
27/01/2022-23:52;8;0;8;
27/01/2022-23:57;7;1;8;
28/01/2022-00:02;7;1;8;
28/01/2022-00:07;7;1;8;
28/01/2022-00:12;7;1;8;
28/01/2022-00:17;7;1;8;
28/01/2022-00:22;7;1;8;
28/01/2022-00:27;7;1;8;
28/01/2022-00:32;7;1;8;
28/01/2022-00:37;7;1;8;
28/01/2022-00:42;7;1;8;
28/01/2022-00:47;7;1;8;
28/01/2022-00:52;7;1;8;
28/01/2022-00:57;7;1;8;
28/01/2022-01:02;7;1;8;
28/01/2022-01:07;7;1;8;
28/01/2022-01:12;7;1;8;
28/01/2022-01:17;7;1;8;
28/01/2022-01:22;7;1;8;
28/01/2022-01:27;7;1;8;
28/01/2022-01:32;7;1;8;
28/01/2022-01:37;7;1;8;
28/01/2022-01:42;7;1;8;
28/01/2022-01:47;7;1;8;
28/01/2022-01:52;7;1;8;
28/01/2022-01:57;7;1;8;
28/01/2022-02:02;7;1;8;
28/01/2022-02:07;7;1;8;
28/01/2022-02:12;7;1;8;
28/01/2022-02:17;7;1;8;
28/01/2022-02:22;7;1;8;
28/01/2022-02:27;7;1;8;
28/01/2022-02:32;7;1;8;
28/01/2022-02:37;7;1;8;
28/01/2022-02:42;7;1;8;
28/01/2022-02:47;7;1;8;
28/01/2022-02:52;7;1;8;
28/01/2022-02:57;7;1;8;
28/01/2022-03:02;7;1;8;
28/01/2022-03:07;7;1;8;
28/01/2022-03:12;7;1;8;
28/01/2022-03:17;7;1;8;
28/01/2022-03:22;7;1;8;
28/01/2022-03:27;7;1;8;
28/01/2022-03:32;7;1;8;
28/01/2022-03:37;7;1;8;
28/01/2022-03:42;7;1;8;
28/01/2022-03:47;4;4;8;
28/01/2022-03:52;4;4;8;
28/01/2022-03:57;4;4;8;
28/01/2022-04:02;4;4;8;
28/01/2022-04:07;4;4;8;
28/01/2022-04:12;4;4;8;
28/01/2022-04:17;4;4;8;
