CapTime,Status,Free,Total
28/01/2022-09:37,Open,338,656,
28/01/2022-09:42,Open,351,656,
28/01/2022-09:47,Open,326,656,
28/01/2022-09:52,Open,327,656,
28/01/2022-09:57,Open,320,656,
28/01/2022-10:02,Open,331,656,
28/01/2022-10:07,Open,334,656,
28/01/2022-10:12,Open,342,656,
28/01/2022-10:17,Open,338,656,
28/01/2022-10:22,Open,335,656,
28/01/2022-10:27,Open,339,656,
28/01/2022-10:32,Open,336,656,
28/01/2022-10:37,Open,328,656,
28/01/2022-10:42,Open,338,656,
28/01/2022-10:47,Open,336,656,
28/01/2022-10:52,Open,344,656,
28/01/2022-10:57,Open,355,656,
28/01/2022-11:02,Open,337,656,
28/01/2022-11:07,Open,330,656,
28/01/2022-11:12,Open,328,656,
28/01/2022-11:17,Open,329,656,
28/01/2022-11:22,Open,329,656,
28/01/2022-11:27,Open,333,656,
28/01/2022-11:32,Open,331,656,
28/01/2022-11:37,Open,328,656,
28/01/2022-11:42,Open,331,656,
28/01/2022-11:47,Open,329,656,
28/01/2022-11:52,Open,339,656,
28/01/2022-11:57,Open,343,656,
28/01/2022-12:02,Open,345,656,
28/01/2022-12:07,Open,343,656,
28/01/2022-12:12,Open,346,656,
28/01/2022-12:17,Open,351,656,
28/01/2022-12:22,Open,352,656,
28/01/2022-12:27,Open,350,656,
28/01/2022-12:32,Open,354,656,
28/01/2022-12:37,Open,360,656,
28/01/2022-12:42,Open,358,656,
28/01/2022-12:47,Open,357,656,
28/01/2022-12:52,Open,348,656,
28/01/2022-12:57,Open,345,656,
28/01/2022-13:02,Open,340,656,
28/01/2022-13:07,Open,344,656,
28/01/2022-13:12,Open,344,656,
28/01/2022-13:17,Open,344,656,
28/01/2022-13:22,Open,347,656,
28/01/2022-13:27,Open,345,656,
28/01/2022-13:32,Open,338,656,
28/01/2022-13:37,Open,346,656,
28/01/2022-13:42,Open,334,656,
28/01/2022-13:47,Open,337,656,
28/01/2022-13:52,Open,347,656,
28/01/2022-13:57,Open,350,656,
28/01/2022-14:02,Open,355,656,
28/01/2022-14:07,Open,348,656,
28/01/2022-14:12,Open,349,656,
28/01/2022-14:17,Open,355,656,
28/01/2022-14:22,Open,357,656,
28/01/2022-14:27,Open,355,656,
28/01/2022-14:32,Open,349,656,
28/01/2022-14:37,Open,347,656,
28/01/2022-14:42,Open,346,656,
28/01/2022-14:47,Open,349,656,
28/01/2022-14:52,Open,347,656,
28/01/2022-14:57,Open,355,656,
28/01/2022-15:02,Open,348,656,
28/01/2022-15:07,Open,343,656,
28/01/2022-15:12,Open,351,656,
28/01/2022-15:17,Open,351,656,
28/01/2022-15:22,Open,347,656,
28/01/2022-15:27,Open,347,656,
28/01/2022-15:32,Open,350,656,
28/01/2022-15:37,Open,352,656,
28/01/2022-15:42,Open,350,656,
28/01/2022-15:47,Open,349,656,
28/01/2022-15:52,Open,353,656,
28/01/2022-15:57,Open,355,656,
28/01/2022-16:02,Open,350,656,
28/01/2022-16:07,Open,342,656,
28/01/2022-16:12,Open,335,656,
28/01/2022-16:17,Open,341,656,
28/01/2022-16:22,Open,337,656,
28/01/2022-16:27,Open,341,656,
28/01/2022-16:32,Open,337,656,
28/01/2022-16:37,Open,338,656,
28/01/2022-16:42,Open,340,656,
28/01/2022-16:47,Open,335,656,
28/01/2022-16:52,Open,330,656,
28/01/2022-16:57,Open,334,656,
28/01/2022-17:02,Open,328,656,
28/01/2022-17:07,Open,323,656,
28/01/2022-17:12,Open,339,656,
28/01/2022-17:17,Open,341,656,
28/01/2022-17:22,Open,340,656,
28/01/2022-17:27,Open,334,656,
28/01/2022-17:32,Open,351,656,
28/01/2022-17:37,Open,337,656,
28/01/2022-17:42,Open,321,656,
28/01/2022-17:47,Open,317,656,
28/01/2022-17:52,Open,349,656,
28/01/2022-17:57,Open,347,656,
28/01/2022-18:02,Open,337,656,
28/01/2022-18:07,Open,337,656,
28/01/2022-18:12,Open,369,656,
28/01/2022-18:17,Open,368,656,
28/01/2022-18:22,Open,351,656,
28/01/2022-18:27,Open,347,656,
28/01/2022-18:32,Open,384,656,
28/01/2022-18:37,Open,383,656,
28/01/2022-18:42,Open,354,656,
28/01/2022-18:47,Open,346,656,
28/01/2022-18:52,Open,377,656,
28/01/2022-18:57,Open,365,656,
28/01/2022-19:02,Open,366,656,
28/01/2022-19:07,Open,408,656,
28/01/2022-19:12,Open,412,656,
28/01/2022-19:17,Open,422,656,
28/01/2022-19:23,Open,373,656,
28/01/2022-19:28,Open,379,656,
28/01/2022-19:33,Open,423,656,
28/01/2022-19:38,Open,353,656,
