CapTime,av,fr,to
27/01/2022-19:42,4,8,12,
27/01/2022-19:47,4,8,12,
27/01/2022-19:52,4,8,12,
27/01/2022-19:57,4,8,12,
27/01/2022-20:02,4,8,12,
27/01/2022-20:07,4,8,12,
27/01/2022-20:12,4,8,12,
27/01/2022-20:17,4,8,12,
27/01/2022-20:22,4,8,12,
27/01/2022-20:27,4,8,12,
27/01/2022-20:32,4,8,12,
27/01/2022-20:37,5,7,12,
27/01/2022-20:42,5,7,12,
27/01/2022-20:47,5,7,12,
27/01/2022-20:52,5,7,12,
27/01/2022-20:57,5,7,12,
27/01/2022-21:02,5,7,12,
27/01/2022-21:07,5,7,12,
27/01/2022-21:12,5,7,12,
27/01/2022-21:17,5,7,12,
27/01/2022-21:22,5,7,12,
27/01/2022-21:27,5,7,12,
27/01/2022-21:32,5,7,12,
27/01/2022-21:37,6,6,12,
27/01/2022-21:42,6,6,12,
27/01/2022-21:47,6,6,12,
27/01/2022-21:52,6,6,12,
27/01/2022-21:57,6,6,12,
27/01/2022-22:02,6,6,12,
27/01/2022-22:07,6,6,12,
27/01/2022-22:12,6,6,12,
27/01/2022-22:17,6,6,12,
27/01/2022-22:22,6,6,12,
27/01/2022-22:27,6,6,12,
27/01/2022-22:32,6,6,12,
27/01/2022-22:37,6,6,12,
27/01/2022-22:42,6,6,12,
27/01/2022-22:47,6,6,12,
27/01/2022-22:52,6,6,12,
27/01/2022-22:57,6,6,12,
27/01/2022-23:02,6,6,12,
27/01/2022-23:07,6,6,12,
27/01/2022-23:12,6,6,12,
27/01/2022-23:17,6,6,12,
27/01/2022-23:22,6,6,12,
27/01/2022-23:27,6,6,12,
27/01/2022-23:32,6,6,12,
27/01/2022-23:37,6,6,12,
27/01/2022-23:42,6,6,12,
27/01/2022-23:47,6,6,12,
27/01/2022-23:52,6,6,12,
27/01/2022-23:57,6,6,12,
28/01/2022-00:02,6,6,12,
28/01/2022-00:07,6,6,12,
28/01/2022-00:12,6,6,12,
28/01/2022-00:17,6,6,12,
28/01/2022-00:22,6,6,12,
28/01/2022-00:27,6,6,12,
28/01/2022-00:32,6,6,12,
28/01/2022-00:37,6,6,12,
28/01/2022-00:42,6,6,12,
28/01/2022-00:47,6,6,12,
28/01/2022-00:52,6,6,12,
28/01/2022-00:57,6,6,12,
28/01/2022-01:02,6,6,12,
28/01/2022-01:07,6,6,12,
28/01/2022-01:12,6,6,12,
28/01/2022-01:17,6,6,12,
28/01/2022-01:22,6,6,12,
28/01/2022-01:27,6,6,12,
28/01/2022-01:32,6,6,12,
28/01/2022-01:37,6,6,12,
28/01/2022-01:42,6,6,12,
28/01/2022-01:47,6,6,12,
28/01/2022-01:52,6,6,12,
28/01/2022-01:57,6,6,12,
28/01/2022-02:02,6,6,12,
28/01/2022-02:07,6,6,12,
28/01/2022-02:12,6,6,12,
28/01/2022-02:17,6,6,12,
28/01/2022-02:22,6,6,12,
28/01/2022-02:27,6,6,12,
28/01/2022-02:32,6,6,12,
28/01/2022-02:37,6,6,12,
28/01/2022-02:42,6,6,12,
28/01/2022-02:47,6,6,12,
28/01/2022-02:52,6,6,12,
28/01/2022-02:57,6,6,12,
28/01/2022-03:02,6,6,12,
28/01/2022-03:07,6,6,12,
28/01/2022-03:12,6,6,12,
28/01/2022-03:17,6,6,12,
28/01/2022-03:22,5,7,12,
28/01/2022-03:27,5,7,12,
28/01/2022-03:32,5,7,12,
28/01/2022-03:37,5,7,12,
28/01/2022-03:42,5,7,12,
28/01/2022-03:47,5,7,12,
28/01/2022-03:52,5,7,12,
28/01/2022-03:57,5,7,12,
28/01/2022-04:02,5,7,12,
28/01/2022-04:07,6,6,12,
28/01/2022-04:12,6,6,12,
28/01/2022-04:17,6,6,12,
28/01/2022-04:22,6,6,12,
28/01/2022-04:27,6,6,12,
28/01/2022-04:32,6,6,12,
28/01/2022-04:37,6,6,12,
28/01/2022-04:42,6,6,12,
28/01/2022-04:47,6,6,12,
28/01/2022-04:52,6,6,12,
28/01/2022-04:57,6,6,12,
28/01/2022-05:02,6,6,12,
28/01/2022-05:07,6,6,12,
28/01/2022-05:12,6,6,12,
28/01/2022-05:17,6,6,12,
28/01/2022-05:22,6,6,12,
28/01/2022-05:27,6,6,12,
28/01/2022-05:32,6,6,12,
28/01/2022-05:37,6,6,12,
28/01/2022-05:42,6,6,12,
28/01/2022-05:47,6,6,12,
28/01/2022-05:52,6,6,12,
28/01/2022-05:57,6,6,12,
28/01/2022-06:02,6,6,12,
28/01/2022-06:07,6,6,12,
28/01/2022-06:12,6,6,12,
28/01/2022-06:17,6,6,12,
28/01/2022-06:22,6,6,12,
28/01/2022-06:27,6,6,12,
28/01/2022-06:32,6,6,12,
28/01/2022-06:37,6,6,12,
28/01/2022-06:42,6,6,12,
28/01/2022-06:47,6,6,12,
28/01/2022-06:52,6,6,12,
28/01/2022-06:57,6,6,12,
28/01/2022-07:02,6,6,12,
28/01/2022-07:07,6,6,12,
28/01/2022-07:12,6,6,12,
28/01/2022-07:17,6,6,12,
28/01/2022-07:22,6,6,12,
28/01/2022-07:27,6,6,12,
28/01/2022-07:32,6,6,12,
28/01/2022-07:37,5,7,12,
28/01/2022-07:42,5,7,12,
28/01/2022-07:47,5,7,12,
28/01/2022-07:52,5,7,12,
28/01/2022-07:57,5,7,12,
28/01/2022-08:02,6,6,12,
28/01/2022-08:07,5,7,12,
28/01/2022-08:12,5,7,12,
28/01/2022-08:17,6,6,12,
28/01/2022-08:22,6,6,12,
28/01/2022-08:27,6,6,12,
28/01/2022-08:32,6,6,12,
28/01/2022-08:37,6,6,12,
28/01/2022-08:42,6,6,12,
28/01/2022-08:47,6,6,12,
28/01/2022-08:52,6,6,12,
28/01/2022-08:57,6,6,12,
28/01/2022-09:02,6,6,12,
28/01/2022-09:07,6,6,12,
28/01/2022-09:12,6,6,12,
28/01/2022-09:17,6,6,12,
28/01/2022-09:22,6,6,12,
28/01/2022-09:27,5,7,12,
28/01/2022-09:32,5,7,12,
28/01/2022-09:37,5,7,12,
28/01/2022-09:42,6,6,12,
28/01/2022-09:47,6,6,12,
28/01/2022-09:52,6,6,12,
28/01/2022-09:57,6,6,12,
28/01/2022-10:02,6,6,12,
28/01/2022-10:07,6,6,12,
28/01/2022-10:12,6,6,12,
28/01/2022-10:17,6,6,12,
28/01/2022-10:22,6,6,12,
28/01/2022-10:27,6,6,12,
28/01/2022-10:32,6,6,12,
28/01/2022-10:37,6,6,12,
28/01/2022-10:42,6,6,12,
28/01/2022-10:47,7,5,12,
28/01/2022-10:52,7,5,12,
28/01/2022-10:57,7,5,12,
28/01/2022-11:02,7,5,12,
28/01/2022-11:07,7,5,12,
28/01/2022-11:12,7,5,12,
28/01/2022-11:17,7,5,12,
28/01/2022-11:22,7,5,12,
28/01/2022-11:27,7,5,12,
28/01/2022-11:32,7,5,12,
28/01/2022-11:37,7,5,12,
28/01/2022-11:42,7,5,12,
28/01/2022-11:47,7,5,12,
28/01/2022-11:52,7,5,12,
28/01/2022-11:57,7,5,12,
28/01/2022-12:02,7,5,12,
28/01/2022-12:07,7,5,12,
28/01/2022-12:12,7,5,12,
28/01/2022-12:17,6,6,12,
28/01/2022-12:22,6,6,12,
28/01/2022-12:27,6,6,12,
28/01/2022-12:32,6,6,12,
28/01/2022-12:37,6,6,12,
28/01/2022-12:42,6,6,12,
28/01/2022-12:47,6,6,12,
28/01/2022-12:52,6,6,12,
28/01/2022-12:57,6,6,12,
28/01/2022-13:02,6,6,12,
28/01/2022-13:07,7,5,12,
28/01/2022-13:12,7,5,12,
28/01/2022-13:17,7,5,12,
28/01/2022-13:22,7,5,12,
28/01/2022-13:27,7,5,12,
28/01/2022-13:32,7,5,12,
28/01/2022-13:37,7,5,12,
28/01/2022-13:42,7,5,12,
28/01/2022-13:47,7,5,12,
28/01/2022-13:52,7,5,12,
28/01/2022-13:57,7,5,12,
28/01/2022-14:02,7,5,12,
28/01/2022-14:07,7,5,12,
28/01/2022-14:12,6,6,12,
28/01/2022-14:17,6,6,12,
28/01/2022-14:22,6,6,12,
28/01/2022-14:27,6,6,12,
28/01/2022-14:32,6,6,12,
28/01/2022-14:37,7,5,12,
28/01/2022-14:42,7,5,12,
28/01/2022-14:47,7,5,12,
28/01/2022-14:52,7,5,12,
28/01/2022-14:57,7,5,12,
28/01/2022-15:02,7,5,12,
28/01/2022-15:07,8,4,12,
28/01/2022-15:12,9,3,12,
28/01/2022-15:17,8,4,12,
28/01/2022-15:22,9,3,12,
28/01/2022-15:27,9,3,12,
28/01/2022-15:32,9,3,12,
28/01/2022-15:37,9,3,12,
28/01/2022-15:42,9,3,12,
28/01/2022-15:47,9,3,12,
28/01/2022-15:52,8,4,12,
28/01/2022-15:57,8,4,12,
28/01/2022-16:02,8,4,12,
28/01/2022-16:07,8,4,12,
28/01/2022-16:12,8,4,12,
28/01/2022-16:17,8,4,12,
28/01/2022-16:22,8,4,12,
28/01/2022-16:27,10,2,12,
28/01/2022-16:32,10,2,12,
28/01/2022-16:37,10,2,12,
28/01/2022-16:42,10,2,12,
28/01/2022-16:47,10,2,12,
28/01/2022-16:52,10,2,12,
28/01/2022-16:57,10,2,12,
28/01/2022-17:02,10,2,12,
28/01/2022-17:07,10,2,12,
28/01/2022-17:12,10,2,12,
28/01/2022-17:17,10,2,12,
28/01/2022-17:22,11,1,12,
28/01/2022-17:27,11,1,12,
28/01/2022-17:32,12,0,12,
28/01/2022-17:37,12,0,12,
28/01/2022-17:42,12,0,12,
28/01/2022-17:47,12,0,12,
28/01/2022-17:52,12,0,12,
28/01/2022-17:57,12,0,12,
28/01/2022-18:02,12,0,12,
28/01/2022-18:07,12,0,12,
28/01/2022-18:12,12,0,12,
28/01/2022-18:17,12,0,12,
28/01/2022-18:22,12,0,12,
28/01/2022-18:27,12,0,12,
28/01/2022-18:32,12,0,12,
28/01/2022-18:37,12,0,12,
28/01/2022-18:42,12,0,12,
28/01/2022-18:47,12,0,12,
28/01/2022-18:52,12,0,12,
28/01/2022-18:57,12,0,12,
28/01/2022-19:02,12,0,12,
28/01/2022-19:07,12,0,12,
28/01/2022-19:12,12,0,12,
28/01/2022-19:17,12,0,12,
28/01/2022-19:23,12,0,12,
28/01/2022-19:28,12,0,12,
28/01/2022-19:33,12,0,12,
28/01/2022-19:38,12,0,12,
