CapTime;av;fr;to
27/01/2022-19:42;14;17;31;
27/01/2022-19:47;14;17;31;
27/01/2022-19:52;14;17;31;
27/01/2022-19:57;14;17;31;
27/01/2022-20:02;14;17;31;
27/01/2022-20:07;14;17;31;
27/01/2022-20:12;14;17;31;
27/01/2022-20:17;14;17;31;
27/01/2022-20:22;15;16;31;
27/01/2022-20:27;14;17;31;
27/01/2022-20:32;14;17;31;
27/01/2022-20:37;14;17;31;
27/01/2022-20:42;14;17;31;
27/01/2022-20:47;15;16;31;
27/01/2022-20:52;15;16;31;
27/01/2022-20:57;15;16;31;
27/01/2022-21:02;15;16;31;
27/01/2022-21:07;15;16;31;
27/01/2022-21:12;12;19;31;
27/01/2022-21:17;12;19;31;
27/01/2022-21:22;12;19;31;
27/01/2022-21:27;12;19;31;
27/01/2022-21:32;12;19;31;
27/01/2022-21:37;12;19;31;
27/01/2022-21:42;12;19;31;
27/01/2022-21:47;12;19;31;
27/01/2022-21:52;12;19;31;
27/01/2022-21:57;10;21;31;
27/01/2022-22:02;10;21;31;
27/01/2022-22:07;10;21;31;
27/01/2022-22:12;10;21;31;
27/01/2022-22:17;10;21;31;
27/01/2022-22:22;10;21;31;
27/01/2022-22:27;10;21;31;
27/01/2022-22:32;10;21;31;
27/01/2022-22:37;10;21;31;
27/01/2022-22:42;11;20;31;
27/01/2022-22:47;11;20;31;
27/01/2022-22:52;11;20;31;
27/01/2022-22:57;11;20;31;
27/01/2022-23:02;11;20;31;
27/01/2022-23:07;11;20;31;
27/01/2022-23:12;11;20;31;
27/01/2022-23:17;11;20;31;
27/01/2022-23:22;11;20;31;
27/01/2022-23:27;11;20;31;
27/01/2022-23:32;11;20;31;
27/01/2022-23:37;11;20;31;
27/01/2022-23:42;11;20;31;
27/01/2022-23:47;11;20;31;
27/01/2022-23:52;10;21;31;
27/01/2022-23:57;10;21;31;
28/01/2022-00:02;10;21;31;
28/01/2022-00:07;10;21;31;
28/01/2022-00:12;10;21;31;
28/01/2022-00:17;10;21;31;
28/01/2022-00:22;10;21;31;
28/01/2022-00:27;10;21;31;
28/01/2022-00:32;10;21;31;
28/01/2022-00:37;10;21;31;
28/01/2022-00:42;10;21;31;
28/01/2022-00:47;10;21;31;
28/01/2022-00:52;10;21;31;
28/01/2022-00:57;10;21;31;
28/01/2022-01:02;10;21;31;
28/01/2022-01:07;10;21;31;
28/01/2022-01:12;10;21;31;
28/01/2022-01:17;10;21;31;
28/01/2022-01:22;10;21;31;
28/01/2022-01:27;10;21;31;
28/01/2022-01:32;10;21;31;
28/01/2022-01:37;10;21;31;
28/01/2022-01:42;9;22;31;
28/01/2022-01:47;8;23;31;
28/01/2022-01:52;8;23;31;
28/01/2022-01:57;8;23;31;
28/01/2022-02:02;8;23;31;
28/01/2022-02:07;8;23;31;
28/01/2022-02:12;8;23;31;
28/01/2022-02:17;9;22;31;
28/01/2022-02:22;8;23;31;
28/01/2022-02:27;8;23;31;
28/01/2022-02:32;8;23;31;
28/01/2022-02:37;8;23;31;
28/01/2022-02:42;8;23;31;
28/01/2022-02:47;8;23;31;
28/01/2022-02:52;8;23;31;
28/01/2022-02:57;8;23;31;
28/01/2022-03:02;8;23;31;
28/01/2022-03:07;8;23;31;
28/01/2022-03:12;8;23;31;
28/01/2022-03:17;8;23;31;
28/01/2022-03:22;8;23;31;
28/01/2022-03:27;8;23;31;
28/01/2022-03:32;8;23;31;
28/01/2022-03:37;8;23;31;
28/01/2022-03:42;8;23;31;
28/01/2022-03:47;8;23;31;
28/01/2022-03:52;8;23;31;
28/01/2022-03:57;8;23;31;
28/01/2022-04:02;8;23;31;
28/01/2022-04:07;8;23;31;
28/01/2022-04:12;8;23;31;
28/01/2022-04:17;8;23;31;
28/01/2022-04:22;8;23;31;
28/01/2022-04:27;8;23;31;
28/01/2022-04:32;8;23;31;
28/01/2022-04:37;8;23;31;
28/01/2022-04:42;8;23;31;
28/01/2022-04:47;8;23;31;
28/01/2022-04:52;8;23;31;
28/01/2022-04:57;8;23;31;
28/01/2022-05:02;8;23;31;
28/01/2022-05:07;8;23;31;
28/01/2022-05:12;8;23;31;
28/01/2022-05:17;8;23;31;
28/01/2022-05:22;8;23;31;
28/01/2022-05:27;8;23;31;
28/01/2022-05:32;8;23;31;
28/01/2022-05:37;8;23;31;
28/01/2022-05:42;8;23;31;
28/01/2022-05:47;8;23;31;
28/01/2022-05:52;8;23;31;
28/01/2022-05:57;8;23;31;
28/01/2022-06:02;8;23;31;
28/01/2022-06:07;8;23;31;
28/01/2022-06:12;8;23;31;
28/01/2022-06:17;8;23;31;
28/01/2022-06:22;8;23;31;
28/01/2022-06:27;8;23;31;
28/01/2022-06:32;8;23;31;
28/01/2022-06:37;9;22;31;
28/01/2022-06:42;9;22;31;
28/01/2022-06:47;9;22;31;
28/01/2022-06:52;9;22;31;
28/01/2022-06:57;9;22;31;
28/01/2022-07:02;9;22;31;
28/01/2022-07:07;9;22;31;
28/01/2022-07:12;9;22;31;
28/01/2022-07:17;9;22;31;
28/01/2022-07:22;9;22;31;
28/01/2022-07:27;9;22;31;
28/01/2022-07:32;9;22;31;
28/01/2022-07:37;9;22;31;
28/01/2022-07:42;9;22;31;
28/01/2022-07:47;11;20;31;
28/01/2022-07:52;11;20;31;
28/01/2022-07:57;11;20;31;
28/01/2022-08:02;11;20;31;
28/01/2022-08:07;11;20;31;
28/01/2022-08:12;11;20;31;
28/01/2022-08:17;11;20;31;
28/01/2022-08:22;11;20;31;
28/01/2022-08:27;11;20;31;
28/01/2022-08:32;11;20;31;
28/01/2022-08:37;11;20;31;
28/01/2022-08:42;11;20;31;
28/01/2022-08:47;11;20;31;
28/01/2022-08:52;11;20;31;
28/01/2022-08:57;11;20;31;
28/01/2022-09:02;11;20;31;
28/01/2022-09:07;11;20;31;
28/01/2022-09:12;11;20;31;
28/01/2022-09:17;12;19;31;
28/01/2022-09:22;12;19;31;
28/01/2022-09:27;12;19;31;
28/01/2022-09:32;12;19;31;
28/01/2022-09:37;12;19;31;
28/01/2022-09:42;12;19;31;
28/01/2022-09:47;12;19;31;
28/01/2022-09:52;12;19;31;
28/01/2022-09:57;12;19;31;
28/01/2022-10:02;12;19;31;
28/01/2022-10:07;12;19;31;
28/01/2022-10:12;13;18;31;
28/01/2022-10:17;13;18;31;
28/01/2022-10:22;13;18;31;
28/01/2022-10:27;13;18;31;
28/01/2022-10:32;13;18;31;
28/01/2022-10:37;13;18;31;
28/01/2022-10:42;13;18;31;
28/01/2022-10:47;13;18;31;
28/01/2022-10:52;14;17;31;
28/01/2022-10:57;14;17;31;
28/01/2022-11:02;13;18;31;
28/01/2022-11:07;14;17;31;
28/01/2022-11:12;14;17;31;
28/01/2022-11:17;14;17;31;
28/01/2022-11:22;14;17;31;
28/01/2022-11:27;14;17;31;
28/01/2022-11:32;13;18;31;
28/01/2022-11:37;13;18;31;
28/01/2022-11:42;13;18;31;
28/01/2022-11:47;11;20;31;
28/01/2022-11:52;11;20;31;
28/01/2022-11:57;11;20;31;
28/01/2022-12:02;11;20;31;
28/01/2022-12:07;11;20;31;
28/01/2022-12:12;11;20;31;
28/01/2022-12:17;11;20;31;
28/01/2022-12:22;11;20;31;
28/01/2022-12:27;11;20;31;
28/01/2022-12:32;11;20;31;
28/01/2022-12:37;11;20;31;
28/01/2022-12:42;11;20;31;
28/01/2022-12:47;11;20;31;
28/01/2022-12:52;11;20;31;
28/01/2022-12:57;13;18;31;
28/01/2022-13:02;13;18;31;
28/01/2022-13:07;13;18;31;
28/01/2022-13:12;13;18;31;
28/01/2022-13:17;11;20;31;
28/01/2022-13:22;11;20;31;
28/01/2022-13:27;11;20;31;
28/01/2022-13:32;11;20;31;
28/01/2022-13:37;11;20;31;
28/01/2022-13:42;12;19;31;
28/01/2022-13:47;10;21;31;
28/01/2022-13:52;11;20;31;
28/01/2022-13:57;11;20;31;
28/01/2022-14:02;11;20;31;
28/01/2022-14:07;11;20;31;
28/01/2022-14:12;11;20;31;
28/01/2022-14:17;10;21;31;
28/01/2022-14:22;10;21;31;
28/01/2022-14:27;12;19;31;
28/01/2022-14:32;13;18;31;
28/01/2022-14:37;13;18;31;
28/01/2022-14:42;13;18;31;
28/01/2022-14:47;12;19;31;
28/01/2022-14:52;12;19;31;
28/01/2022-14:57;12;19;31;
28/01/2022-15:02;12;19;31;
28/01/2022-15:07;12;19;31;
28/01/2022-15:12;12;19;31;
28/01/2022-15:17;12;19;31;
28/01/2022-15:22;12;19;31;
28/01/2022-15:27;13;18;31;
28/01/2022-15:32;13;18;31;
28/01/2022-15:37;13;18;31;
28/01/2022-15:42;13;18;31;
28/01/2022-15:47;13;18;31;
28/01/2022-15:52;13;18;31;
28/01/2022-15:57;13;18;31;
28/01/2022-16:02;13;18;31;
28/01/2022-16:07;14;17;31;
28/01/2022-16:12;15;16;31;
28/01/2022-16:17;15;16;31;
28/01/2022-16:22;17;14;31;
28/01/2022-16:27;17;14;31;
28/01/2022-16:32;17;14;31;
28/01/2022-16:37;17;14;31;
28/01/2022-16:42;17;14;31;
28/01/2022-16:47;17;14;31;
28/01/2022-16:52;17;14;31;
28/01/2022-16:57;17;14;31;
28/01/2022-17:02;17;14;31;
28/01/2022-17:07;17;14;31;
28/01/2022-17:12;18;13;31;
28/01/2022-17:17;18;13;31;
28/01/2022-17:22;18;13;31;
28/01/2022-17:27;19;12;31;
28/01/2022-17:32;14;17;31;
28/01/2022-17:37;11;20;31;
28/01/2022-17:42;11;20;31;
28/01/2022-17:47;11;20;31;
28/01/2022-17:52;11;20;31;
28/01/2022-17:57;11;20;31;
28/01/2022-18:02;11;20;31;
28/01/2022-18:07;11;20;31;
28/01/2022-18:12;11;20;31;
28/01/2022-18:17;11;20;31;
28/01/2022-18:22;10;21;31;
28/01/2022-18:27;10;21;31;
28/01/2022-18:32;10;21;31;
28/01/2022-18:37;10;21;31;
28/01/2022-18:42;10;21;31;
28/01/2022-18:47;10;21;31;
28/01/2022-18:52;10;21;31;
28/01/2022-18:57;10;21;31;
28/01/2022-19:02;10;21;31;
28/01/2022-19:07;10;21;31;
28/01/2022-19:12;10;21;31;
28/01/2022-19:17;10;21;31;
28/01/2022-19:23;10;21;31;
28/01/2022-19:28;8;23;31;
28/01/2022-19:33;7;24;31;
28/01/2022-19:38;7;24;31;
