CapTime,av,fr,to
27/01/2022-19:42,5,27,32,
27/01/2022-19:47,5,27,32,
27/01/2022-19:52,5,27,32,
27/01/2022-19:57,5,27,32,
27/01/2022-20:02,5,27,32,
27/01/2022-20:07,5,27,32,
27/01/2022-20:12,5,27,32,
27/01/2022-20:17,5,27,32,
27/01/2022-20:22,4,28,32,
27/01/2022-20:27,4,28,32,
27/01/2022-20:32,4,28,32,
27/01/2022-20:37,5,27,32,
27/01/2022-20:42,5,27,32,
27/01/2022-20:47,5,27,32,
27/01/2022-20:52,4,28,32,
27/01/2022-20:57,4,28,32,
27/01/2022-21:02,4,28,32,
27/01/2022-21:07,4,28,32,
27/01/2022-21:12,4,28,32,
27/01/2022-21:17,4,28,32,
27/01/2022-21:22,4,28,32,
27/01/2022-21:27,4,28,32,
27/01/2022-21:32,4,28,32,
27/01/2022-21:37,4,28,32,
27/01/2022-21:42,4,28,32,
27/01/2022-21:47,4,28,32,
27/01/2022-21:52,4,28,32,
27/01/2022-21:57,4,28,32,
27/01/2022-22:02,4,28,32,
27/01/2022-22:07,3,29,32,
27/01/2022-22:12,3,29,32,
27/01/2022-22:17,3,29,32,
27/01/2022-22:22,3,29,32,
27/01/2022-22:27,3,29,32,
27/01/2022-22:32,3,29,32,
27/01/2022-22:37,3,29,32,
27/01/2022-22:42,3,29,32,
27/01/2022-22:47,3,29,32,
27/01/2022-22:52,3,29,32,
27/01/2022-22:57,3,29,32,
27/01/2022-23:02,3,29,32,
27/01/2022-23:07,3,29,32,
27/01/2022-23:12,2,30,32,
27/01/2022-23:17,2,30,32,
27/01/2022-23:22,2,30,32,
27/01/2022-23:27,2,30,32,
27/01/2022-23:32,2,30,32,
27/01/2022-23:37,2,30,32,
27/01/2022-23:42,3,29,32,
27/01/2022-23:47,3,29,32,
27/01/2022-23:52,3,29,32,
27/01/2022-23:57,3,29,32,
28/01/2022-00:02,3,29,32,
28/01/2022-00:07,6,26,32,
28/01/2022-00:12,6,26,32,
28/01/2022-00:17,6,26,32,
28/01/2022-00:22,6,26,32,
28/01/2022-00:27,6,26,32,
28/01/2022-00:32,6,26,32,
28/01/2022-00:37,6,26,32,
28/01/2022-00:42,6,26,32,
28/01/2022-00:47,8,24,32,
28/01/2022-00:52,8,24,32,
28/01/2022-00:57,8,24,32,
28/01/2022-01:02,9,23,32,
28/01/2022-01:07,9,23,32,
28/01/2022-01:12,9,23,32,
28/01/2022-01:17,9,23,32,
28/01/2022-01:22,7,25,32,
28/01/2022-01:27,7,25,32,
28/01/2022-01:32,7,25,32,
28/01/2022-01:37,7,25,32,
28/01/2022-01:42,7,25,32,
28/01/2022-01:47,7,25,32,
28/01/2022-01:52,7,25,32,
28/01/2022-01:57,9,23,32,
28/01/2022-02:02,10,22,32,
28/01/2022-02:07,10,22,32,
28/01/2022-02:12,10,22,32,
28/01/2022-02:17,10,22,32,
28/01/2022-02:22,10,22,32,
28/01/2022-02:27,10,22,32,
28/01/2022-02:32,11,21,32,
28/01/2022-02:37,11,21,32,
28/01/2022-02:42,11,21,32,
28/01/2022-02:47,11,21,32,
28/01/2022-02:52,11,21,32,
28/01/2022-02:57,11,21,32,
28/01/2022-03:02,11,21,32,
28/01/2022-03:07,11,21,32,
28/01/2022-03:12,11,21,32,
28/01/2022-03:17,11,21,32,
28/01/2022-03:22,12,20,32,
28/01/2022-03:27,12,20,32,
28/01/2022-03:32,12,20,32,
28/01/2022-03:37,12,20,32,
28/01/2022-03:42,14,18,32,
28/01/2022-03:47,14,18,32,
28/01/2022-03:52,13,19,32,
28/01/2022-03:57,13,19,32,
28/01/2022-04:02,13,19,32,
28/01/2022-04:07,13,19,32,
28/01/2022-04:12,13,19,32,
28/01/2022-04:17,12,20,32,
28/01/2022-04:22,12,20,32,
28/01/2022-04:27,12,20,32,
28/01/2022-04:32,12,20,32,
28/01/2022-04:37,12,20,32,
28/01/2022-04:42,12,20,32,
28/01/2022-04:47,12,20,32,
28/01/2022-04:52,12,20,32,
28/01/2022-04:57,12,20,32,
28/01/2022-05:02,12,20,32,
28/01/2022-05:07,12,20,32,
28/01/2022-05:12,12,20,32,
28/01/2022-05:17,12,20,32,
28/01/2022-05:22,12,20,32,
28/01/2022-05:27,12,20,32,
28/01/2022-05:32,12,20,32,
28/01/2022-05:37,12,20,32,
28/01/2022-05:42,12,20,32,
28/01/2022-05:47,12,20,32,
28/01/2022-05:52,12,20,32,
28/01/2022-05:57,12,20,32,
28/01/2022-06:02,12,20,32,
28/01/2022-06:07,12,20,32,
28/01/2022-06:12,12,20,32,
28/01/2022-06:17,12,20,32,
28/01/2022-06:22,12,20,32,
28/01/2022-06:27,12,20,32,
28/01/2022-06:32,13,19,32,
28/01/2022-06:37,13,19,32,
28/01/2022-06:42,13,19,32,
28/01/2022-06:47,13,19,32,
28/01/2022-06:52,13,19,32,
28/01/2022-06:57,13,19,32,
28/01/2022-07:02,13,19,32,
28/01/2022-07:07,13,19,32,
28/01/2022-07:12,13,19,32,
28/01/2022-07:17,13,19,32,
28/01/2022-07:22,13,19,32,
28/01/2022-07:27,13,19,32,
28/01/2022-07:32,13,19,32,
28/01/2022-07:37,13,19,32,
28/01/2022-07:42,13,19,32,
28/01/2022-07:47,13,19,32,
28/01/2022-07:52,13,19,32,
28/01/2022-07:57,13,19,32,
28/01/2022-08:02,12,20,32,
28/01/2022-08:07,12,20,32,
28/01/2022-08:12,12,20,32,
28/01/2022-08:17,12,20,32,
28/01/2022-08:22,12,20,32,
