CapTime,av,fr,to
27/01/2022-19:42,2,10,12,
27/01/2022-19:47,2,10,12,
27/01/2022-19:52,2,10,12,
27/01/2022-19:57,2,10,12,
27/01/2022-20:02,2,10,12,
27/01/2022-20:07,2,10,12,
27/01/2022-20:12,2,10,12,
27/01/2022-20:17,2,10,12,
27/01/2022-20:22,2,10,12,
27/01/2022-20:27,2,10,12,
27/01/2022-20:32,2,10,12,
27/01/2022-20:37,2,10,12,
27/01/2022-20:42,2,10,12,
27/01/2022-20:47,2,10,12,
27/01/2022-20:52,2,10,12,
27/01/2022-20:57,2,10,12,
27/01/2022-21:02,2,10,12,
27/01/2022-21:07,2,10,12,
27/01/2022-21:12,2,10,12,
27/01/2022-21:17,2,10,12,
27/01/2022-21:22,2,10,12,
27/01/2022-21:27,2,10,12,
27/01/2022-21:32,2,10,12,
27/01/2022-21:37,2,10,12,
27/01/2022-21:42,2,10,12,
27/01/2022-21:47,2,10,12,
27/01/2022-21:52,2,10,12,
27/01/2022-21:57,2,10,12,
27/01/2022-22:02,2,10,12,
27/01/2022-22:07,2,10,12,
27/01/2022-22:12,2,10,12,
27/01/2022-22:17,2,10,12,
27/01/2022-22:22,2,10,12,
27/01/2022-22:27,3,9,12,
27/01/2022-22:32,3,9,12,
27/01/2022-22:37,3,9,12,
27/01/2022-22:42,3,9,12,
27/01/2022-22:47,3,9,12,
27/01/2022-22:52,3,9,12,
27/01/2022-22:57,3,9,12,
27/01/2022-23:02,3,9,12,
27/01/2022-23:07,3,9,12,
27/01/2022-23:12,3,9,12,
27/01/2022-23:17,3,9,12,
27/01/2022-23:22,3,9,12,
27/01/2022-23:27,3,9,12,
27/01/2022-23:32,2,10,12,
27/01/2022-23:37,2,10,12,
27/01/2022-23:42,2,10,12,
27/01/2022-23:47,2,10,12,
27/01/2022-23:52,2,10,12,
27/01/2022-23:57,2,10,12,
28/01/2022-00:02,2,10,12,
28/01/2022-00:07,3,9,12,
28/01/2022-00:12,3,9,12,
28/01/2022-00:17,3,9,12,
28/01/2022-00:22,3,9,12,
28/01/2022-00:27,3,9,12,
28/01/2022-00:32,3,9,12,
28/01/2022-00:37,2,10,12,
28/01/2022-00:42,2,10,12,
28/01/2022-00:47,2,10,12,
28/01/2022-00:52,2,10,12,
28/01/2022-00:57,2,10,12,
28/01/2022-01:02,2,10,12,
28/01/2022-01:07,2,10,12,
28/01/2022-01:12,2,10,12,
28/01/2022-01:17,2,10,12,
28/01/2022-01:22,2,10,12,
28/01/2022-01:27,2,10,12,
28/01/2022-01:32,2,10,12,
28/01/2022-01:37,2,10,12,
28/01/2022-01:42,2,10,12,
28/01/2022-01:47,2,10,12,
28/01/2022-01:52,2,10,12,
28/01/2022-01:57,2,10,12,
28/01/2022-02:02,2,10,12,
28/01/2022-02:07,2,10,12,
28/01/2022-02:12,2,10,12,
28/01/2022-02:17,2,10,12,
28/01/2022-02:22,2,10,12,
28/01/2022-02:27,2,10,12,
28/01/2022-02:32,2,10,12,
28/01/2022-02:37,2,10,12,
28/01/2022-02:42,2,10,12,
28/01/2022-02:47,2,10,12,
28/01/2022-02:52,2,10,12,
28/01/2022-02:57,2,10,12,
28/01/2022-03:02,2,10,12,
28/01/2022-03:07,2,10,12,
28/01/2022-03:12,2,10,12,
28/01/2022-03:17,2,10,12,
28/01/2022-03:22,2,10,12,
28/01/2022-03:27,2,10,12,
28/01/2022-03:32,2,10,12,
28/01/2022-03:37,2,10,12,
28/01/2022-03:42,2,10,12,
28/01/2022-03:47,2,10,12,
28/01/2022-03:52,2,10,12,
28/01/2022-03:57,2,10,12,
28/01/2022-04:02,2,10,12,
28/01/2022-04:07,2,10,12,
28/01/2022-04:12,2,10,12,
28/01/2022-04:17,2,10,12,
28/01/2022-04:22,2,10,12,
28/01/2022-04:27,2,10,12,
28/01/2022-04:32,2,10,12,
28/01/2022-04:37,2,10,12,
28/01/2022-04:42,2,10,12,
28/01/2022-04:47,2,10,12,
28/01/2022-04:52,2,10,12,
28/01/2022-04:57,2,10,12,
28/01/2022-05:02,2,10,12,
28/01/2022-05:07,2,10,12,
28/01/2022-05:12,2,10,12,
28/01/2022-05:17,2,10,12,
28/01/2022-05:22,2,10,12,
28/01/2022-05:27,2,10,12,
