CapTime;av;fr;to
27/01/2022-19:42;4;12;16;
27/01/2022-19:47;4;12;16;
27/01/2022-19:52;4;12;16;
27/01/2022-19:57;4;12;16;
27/01/2022-20:02;3;13;16;
27/01/2022-20:07;3;13;16;
27/01/2022-20:12;3;13;16;
27/01/2022-20:17;3;13;16;
27/01/2022-20:22;3;13;16;
27/01/2022-20:27;3;13;16;
27/01/2022-20:32;3;13;16;
27/01/2022-20:37;3;13;16;
27/01/2022-20:42;3;13;16;
27/01/2022-20:47;3;13;16;
27/01/2022-20:52;3;13;16;
27/01/2022-20:57;3;13;16;
27/01/2022-21:02;3;13;16;
27/01/2022-21:07;3;13;16;
27/01/2022-21:12;3;13;16;
27/01/2022-21:17;3;13;16;
27/01/2022-21:22;3;13;16;
27/01/2022-21:27;3;13;16;
27/01/2022-21:32;3;13;16;
27/01/2022-21:37;3;13;16;
27/01/2022-21:42;3;13;16;
27/01/2022-21:47;2;14;16;
27/01/2022-21:52;2;14;16;
27/01/2022-21:57;2;14;16;
27/01/2022-22:02;2;14;16;
27/01/2022-22:07;2;14;16;
27/01/2022-22:12;2;14;16;
27/01/2022-22:17;2;14;16;
27/01/2022-22:22;2;14;16;
27/01/2022-22:27;2;14;16;
27/01/2022-22:32;2;14;16;
27/01/2022-22:37;2;14;16;
27/01/2022-22:42;2;14;16;
27/01/2022-22:47;2;14;16;
27/01/2022-22:52;2;14;16;
27/01/2022-22:57;2;14;16;
27/01/2022-23:02;2;14;16;
27/01/2022-23:07;2;14;16;
27/01/2022-23:12;2;14;16;
27/01/2022-23:17;2;14;16;
27/01/2022-23:22;2;14;16;
27/01/2022-23:27;2;14;16;
27/01/2022-23:32;2;14;16;
27/01/2022-23:37;2;14;16;
27/01/2022-23:42;2;14;16;
27/01/2022-23:47;2;14;16;
27/01/2022-23:52;2;14;16;
27/01/2022-23:57;2;14;16;
28/01/2022-00:02;2;14;16;
28/01/2022-00:07;2;14;16;
28/01/2022-00:12;2;14;16;
28/01/2022-00:17;2;14;16;
28/01/2022-00:22;2;14;16;
28/01/2022-00:27;2;14;16;
28/01/2022-00:32;2;14;16;
28/01/2022-00:37;2;14;16;
28/01/2022-00:42;2;14;16;
28/01/2022-00:47;2;14;16;
28/01/2022-00:52;2;14;16;
28/01/2022-00:57;2;14;16;
28/01/2022-01:02;2;14;16;
28/01/2022-01:07;2;14;16;
28/01/2022-01:12;2;14;16;
28/01/2022-01:17;2;14;16;
28/01/2022-01:22;2;14;16;
28/01/2022-01:27;2;14;16;
28/01/2022-01:32;2;14;16;
28/01/2022-01:37;2;14;16;
28/01/2022-01:42;2;14;16;
28/01/2022-01:47;2;14;16;
28/01/2022-01:52;2;14;16;
28/01/2022-01:57;2;14;16;
28/01/2022-02:02;2;14;16;
28/01/2022-02:07;2;14;16;
28/01/2022-02:12;2;14;16;
28/01/2022-02:17;2;14;16;
28/01/2022-02:22;2;14;16;
28/01/2022-02:27;2;14;16;
28/01/2022-02:32;2;14;16;
28/01/2022-02:37;2;14;16;
28/01/2022-02:42;2;14;16;
28/01/2022-02:47;2;14;16;
28/01/2022-02:52;2;14;16;
28/01/2022-02:57;2;14;16;
28/01/2022-03:02;2;14;16;
28/01/2022-03:07;2;14;16;
28/01/2022-03:12;2;14;16;
28/01/2022-03:17;2;14;16;
28/01/2022-03:22;2;14;16;
28/01/2022-03:27;2;14;16;
28/01/2022-03:32;2;14;16;
28/01/2022-03:37;2;14;16;
28/01/2022-03:42;2;14;16;
28/01/2022-03:47;2;14;16;
28/01/2022-03:52;2;14;16;
28/01/2022-03:57;2;14;16;
28/01/2022-04:02;2;14;16;
28/01/2022-04:07;2;14;16;
28/01/2022-04:12;2;14;16;
28/01/2022-04:17;2;14;16;
28/01/2022-04:22;2;14;16;
28/01/2022-04:27;2;14;16;
28/01/2022-04:32;2;14;16;
28/01/2022-04:37;2;14;16;
28/01/2022-04:42;2;14;16;
28/01/2022-04:47;2;14;16;
28/01/2022-04:52;2;14;16;
28/01/2022-04:57;2;14;16;
28/01/2022-05:02;2;14;16;
28/01/2022-05:07;2;14;16;
28/01/2022-05:12;2;14;16;
28/01/2022-05:17;2;14;16;
28/01/2022-05:22;2;14;16;
28/01/2022-05:27;2;14;16;
28/01/2022-05:32;2;14;16;
28/01/2022-05:37;2;14;16;
28/01/2022-05:42;2;14;16;
28/01/2022-05:47;2;14;16;
28/01/2022-05:52;2;14;16;
28/01/2022-05:57;2;14;16;
28/01/2022-06:02;2;14;16;
28/01/2022-06:07;2;14;16;
28/01/2022-06:12;2;14;16;
28/01/2022-06:17;2;14;16;
28/01/2022-06:22;2;14;16;
28/01/2022-06:27;2;14;16;
28/01/2022-06:32;2;14;16;
28/01/2022-06:37;2;14;16;
28/01/2022-06:42;2;14;16;
28/01/2022-06:47;2;14;16;
28/01/2022-06:52;2;14;16;
28/01/2022-06:57;2;14;16;
28/01/2022-07:02;2;14;16;
28/01/2022-07:07;2;14;16;
28/01/2022-07:12;2;14;16;
28/01/2022-07:17;2;14;16;
28/01/2022-07:22;2;14;16;
28/01/2022-07:27;2;14;16;
28/01/2022-07:32;2;14;16;
28/01/2022-07:37;2;14;16;
28/01/2022-07:42;2;14;16;
28/01/2022-07:47;2;14;16;
28/01/2022-07:52;2;14;16;
28/01/2022-07:57;2;14;16;
28/01/2022-08:02;2;14;16;
28/01/2022-08:07;2;14;16;
28/01/2022-08:12;2;14;16;
28/01/2022-08:17;2;14;16;
28/01/2022-08:22;2;14;16;
28/01/2022-08:27;2;14;16;
28/01/2022-08:32;3;13;16;
28/01/2022-08:37;3;13;16;
28/01/2022-08:42;3;13;16;
28/01/2022-08:47;3;13;16;
28/01/2022-08:52;3;13;16;
28/01/2022-08:57;3;13;16;
28/01/2022-09:02;3;13;16;
28/01/2022-09:07;3;13;16;
28/01/2022-09:12;3;13;16;
28/01/2022-09:17;3;13;16;
28/01/2022-09:22;3;13;16;
28/01/2022-09:27;3;13;16;
28/01/2022-09:32;3;13;16;
28/01/2022-09:37;3;13;16;
28/01/2022-09:42;3;13;16;
28/01/2022-09:47;3;13;16;
28/01/2022-09:52;3;13;16;
28/01/2022-09:57;3;13;16;
28/01/2022-10:02;3;13;16;
28/01/2022-10:07;3;13;16;
28/01/2022-10:12;3;13;16;
28/01/2022-10:17;3;13;16;
28/01/2022-10:22;3;13;16;
28/01/2022-10:27;4;12;16;
28/01/2022-10:32;4;12;16;
28/01/2022-10:37;4;12;16;
28/01/2022-10:42;4;12;16;
28/01/2022-10:47;4;12;16;
28/01/2022-10:52;4;12;16;
28/01/2022-10:57;4;12;16;
28/01/2022-11:02;4;12;16;
28/01/2022-11:07;4;12;16;
28/01/2022-11:12;4;12;16;
28/01/2022-11:17;4;12;16;
28/01/2022-11:22;4;12;16;
28/01/2022-11:27;4;12;16;
28/01/2022-11:32;4;12;16;
28/01/2022-11:37;4;12;16;
28/01/2022-11:42;4;12;16;
28/01/2022-11:47;4;12;16;
28/01/2022-11:52;4;12;16;
28/01/2022-11:57;4;12;16;
28/01/2022-12:02;4;12;16;
28/01/2022-12:07;4;12;16;
28/01/2022-12:12;4;12;16;
28/01/2022-12:17;4;12;16;
28/01/2022-12:22;4;12;16;
28/01/2022-12:27;4;12;16;
28/01/2022-12:32;4;12;16;
28/01/2022-12:37;4;12;16;
28/01/2022-12:42;4;12;16;
28/01/2022-12:47;5;11;16;
28/01/2022-12:52;5;11;16;
28/01/2022-12:57;5;11;16;
28/01/2022-13:02;5;11;16;
28/01/2022-13:07;5;11;16;
