CapTime;av;fr;to
28/01/2022-10:27;22;46;68;
28/01/2022-10:32;22;46;68;
28/01/2022-10:37;22;46;68;
28/01/2022-10:42;22;46;68;
28/01/2022-10:47;22;46;68;
28/01/2022-10:52;22;46;68;
28/01/2022-10:57;22;46;68;
28/01/2022-11:02;22;46;68;
28/01/2022-11:07;22;46;68;
28/01/2022-11:12;22;46;68;
28/01/2022-11:17;22;46;68;
28/01/2022-11:22;22;46;68;
28/01/2022-11:27;22;46;68;
28/01/2022-11:32;22;46;68;
28/01/2022-11:37;22;46;68;
28/01/2022-11:42;20;48;68;
28/01/2022-11:47;20;48;68;
28/01/2022-11:52;19;49;68;
28/01/2022-11:57;19;49;68;
28/01/2022-12:02;19;49;68;
28/01/2022-12:07;19;49;68;
28/01/2022-12:12;19;49;68;
28/01/2022-12:17;19;49;68;
28/01/2022-12:22;19;49;68;
28/01/2022-12:27;19;49;68;
28/01/2022-12:32;19;49;68;
28/01/2022-12:37;19;49;68;
28/01/2022-12:42;19;49;68;
28/01/2022-12:47;19;49;68;
28/01/2022-12:52;19;49;68;
28/01/2022-12:57;19;49;68;
28/01/2022-13:02;19;49;68;
28/01/2022-13:07;19;49;68;
28/01/2022-13:12;19;49;68;
28/01/2022-13:17;19;49;68;
28/01/2022-13:22;19;49;68;
28/01/2022-13:27;19;49;68;
28/01/2022-13:32;18;50;68;
28/01/2022-13:37;18;50;68;
28/01/2022-13:42;18;50;68;
28/01/2022-13:47;18;50;68;
28/01/2022-13:52;18;50;68;
28/01/2022-13:57;18;50;68;
28/01/2022-14:02;19;49;68;
28/01/2022-14:07;19;49;68;
28/01/2022-14:12;19;49;68;
28/01/2022-14:17;19;49;68;
28/01/2022-14:22;19;49;68;
28/01/2022-14:27;19;49;68;
28/01/2022-14:32;19;49;68;
28/01/2022-14:37;19;49;68;
28/01/2022-14:42;19;49;68;
28/01/2022-14:47;19;49;68;
28/01/2022-14:52;18;50;68;
28/01/2022-14:57;18;50;68;
28/01/2022-15:02;15;53;68;
28/01/2022-15:07;15;53;68;
28/01/2022-15:12;15;53;68;
28/01/2022-15:17;15;53;68;
28/01/2022-15:22;15;53;68;
28/01/2022-15:27;15;53;68;
28/01/2022-15:32;15;53;68;
28/01/2022-15:37;15;53;68;
28/01/2022-15:42;14;54;68;
28/01/2022-15:47;14;54;68;
28/01/2022-15:52;14;54;68;
28/01/2022-15:57;12;56;68;
28/01/2022-16:02;12;56;68;
28/01/2022-16:07;11;57;68;
28/01/2022-16:12;10;58;68;
28/01/2022-16:17;10;58;68;
28/01/2022-16:22;8;60;68;
28/01/2022-16:27;8;60;68;
28/01/2022-16:32;8;60;68;
28/01/2022-16:37;9;59;68;
28/01/2022-16:42;9;59;68;
28/01/2022-16:47;9;59;68;
28/01/2022-16:52;11;57;68;
28/01/2022-16:57;13;55;68;
28/01/2022-17:02;13;55;68;
28/01/2022-17:07;14;54;68;
28/01/2022-17:12;15;53;68;
28/01/2022-17:17;16;52;68;
28/01/2022-17:22;14;54;68;
28/01/2022-17:27;14;54;68;
28/01/2022-17:32;14;54;68;
28/01/2022-17:37;14;54;68;
28/01/2022-17:42;14;54;68;
28/01/2022-17:47;14;54;68;
28/01/2022-17:52;14;54;68;
28/01/2022-17:57;12;56;68;
28/01/2022-18:02;12;56;68;
28/01/2022-18:07;13;55;68;
28/01/2022-18:12;15;53;68;
28/01/2022-18:17;16;52;68;
28/01/2022-18:22;16;52;68;
28/01/2022-18:27;18;50;68;
28/01/2022-18:32;19;49;68;
28/01/2022-18:37;20;48;68;
28/01/2022-18:42;22;46;68;
28/01/2022-18:47;22;46;68;
28/01/2022-18:52;23;45;68;
28/01/2022-18:57;23;45;68;
28/01/2022-19:02;23;45;68;
28/01/2022-19:07;23;45;68;
28/01/2022-19:12;23;45;68;
28/01/2022-19:17;23;45;68;
28/01/2022-19:23;23;45;68;
28/01/2022-19:28;23;45;68;
28/01/2022-19:33;23;45;68;
28/01/2022-19:38;23;45;68;
