CapTime;av;fr;to
27/01/2022-19:42;10;6;16;
27/01/2022-19:47;10;6;16;
27/01/2022-19:52;9;7;16;
27/01/2022-19:57;8;8;16;
27/01/2022-20:02;8;8;16;
27/01/2022-20:07;6;10;16;
27/01/2022-20:12;6;10;16;
27/01/2022-20:17;6;10;16;
27/01/2022-20:22;5;11;16;
27/01/2022-20:27;5;11;16;
27/01/2022-20:32;5;11;16;
27/01/2022-20:37;5;11;16;
27/01/2022-20:42;5;11;16;
27/01/2022-20:47;5;11;16;
27/01/2022-20:52;5;11;16;
27/01/2022-20:57;5;11;16;
27/01/2022-21:02;6;10;16;
27/01/2022-21:07;6;10;16;
27/01/2022-21:12;6;10;16;
27/01/2022-21:17;6;10;16;
27/01/2022-21:22;6;10;16;
27/01/2022-21:27;6;10;16;
27/01/2022-21:32;7;9;16;
27/01/2022-21:37;7;9;16;
27/01/2022-21:42;7;9;16;
27/01/2022-21:47;7;9;16;
27/01/2022-21:52;8;8;16;
27/01/2022-21:57;8;8;16;
27/01/2022-22:02;8;8;16;
27/01/2022-22:07;8;8;16;
27/01/2022-22:12;8;8;16;
27/01/2022-22:17;8;8;16;
27/01/2022-22:22;8;8;16;
27/01/2022-22:27;8;8;16;
27/01/2022-22:32;8;8;16;
27/01/2022-22:37;8;8;16;
27/01/2022-22:42;8;8;16;
27/01/2022-22:47;9;7;16;
27/01/2022-22:52;9;7;16;
27/01/2022-22:57;9;7;16;
27/01/2022-23:02;9;7;16;
27/01/2022-23:07;9;7;16;
27/01/2022-23:12;9;7;16;
27/01/2022-23:17;9;7;16;
27/01/2022-23:22;9;7;16;
27/01/2022-23:27;9;7;16;
27/01/2022-23:32;9;7;16;
27/01/2022-23:37;9;7;16;
27/01/2022-23:42;9;7;16;
27/01/2022-23:47;9;7;16;
27/01/2022-23:52;9;7;16;
27/01/2022-23:57;9;7;16;
28/01/2022-00:02;9;7;16;
28/01/2022-00:07;9;7;16;
28/01/2022-00:12;9;7;16;
28/01/2022-00:17;9;7;16;
28/01/2022-00:22;9;7;16;
28/01/2022-00:27;9;7;16;
28/01/2022-00:32;9;7;16;
28/01/2022-00:37;10;6;16;
28/01/2022-00:42;10;6;16;
28/01/2022-00:47;10;6;16;
28/01/2022-00:52;10;6;16;
28/01/2022-00:57;10;6;16;
28/01/2022-01:02;10;6;16;
28/01/2022-01:07;10;6;16;
28/01/2022-01:12;10;6;16;
28/01/2022-01:17;10;6;16;
