CapTime;av;fr;to
27/01/2022-19:42;6;10;16;
27/01/2022-19:47;6;10;16;
27/01/2022-19:52;6;10;16;
27/01/2022-19:57;6;10;16;
27/01/2022-20:02;6;10;16;
27/01/2022-20:07;6;10;16;
27/01/2022-20:12;6;10;16;
27/01/2022-20:17;6;10;16;
27/01/2022-20:22;6;10;16;
27/01/2022-20:27;6;10;16;
27/01/2022-20:32;6;10;16;
27/01/2022-20:37;6;10;16;
27/01/2022-20:42;6;10;16;
27/01/2022-20:47;6;10;16;
27/01/2022-20:52;6;10;16;
27/01/2022-20:57;6;10;16;
27/01/2022-21:02;6;10;16;
27/01/2022-21:07;6;10;16;
27/01/2022-21:12;6;10;16;
27/01/2022-21:17;6;10;16;
27/01/2022-21:22;6;10;16;
27/01/2022-21:27;7;9;16;
27/01/2022-21:32;7;9;16;
27/01/2022-21:37;7;9;16;
27/01/2022-21:42;7;9;16;
27/01/2022-21:47;7;9;16;
27/01/2022-21:52;7;9;16;
27/01/2022-21:57;7;9;16;
27/01/2022-22:02;7;9;16;
27/01/2022-22:07;7;9;16;
27/01/2022-22:12;7;9;16;
27/01/2022-22:17;7;9;16;
27/01/2022-22:22;7;9;16;
27/01/2022-22:27;7;9;16;
27/01/2022-22:32;7;9;16;
27/01/2022-22:37;7;9;16;
27/01/2022-22:42;7;9;16;
27/01/2022-22:47;7;9;16;
27/01/2022-22:52;7;9;16;
27/01/2022-22:57;7;9;16;
27/01/2022-23:02;7;9;16;
27/01/2022-23:07;7;9;16;
27/01/2022-23:12;7;9;16;
27/01/2022-23:17;7;9;16;
27/01/2022-23:22;7;9;16;
27/01/2022-23:27;7;9;16;
27/01/2022-23:32;7;9;16;
27/01/2022-23:37;7;9;16;
27/01/2022-23:42;7;9;16;
27/01/2022-23:47;7;9;16;
27/01/2022-23:52;7;9;16;
27/01/2022-23:57;7;9;16;
28/01/2022-00:02;7;9;16;
28/01/2022-00:07;7;9;16;
28/01/2022-00:12;8;8;16;
28/01/2022-00:17;8;8;16;
28/01/2022-00:22;8;8;16;
28/01/2022-00:27;8;8;16;
28/01/2022-00:32;8;8;16;
28/01/2022-00:37;8;8;16;
28/01/2022-00:42;8;8;16;
28/01/2022-00:47;8;8;16;
28/01/2022-00:52;8;8;16;
28/01/2022-00:57;8;8;16;
28/01/2022-01:02;8;8;16;
28/01/2022-01:07;8;8;16;
28/01/2022-01:12;8;8;16;
28/01/2022-01:17;8;8;16;
28/01/2022-01:22;8;8;16;
28/01/2022-01:27;8;8;16;
28/01/2022-01:32;8;8;16;
28/01/2022-01:37;8;8;16;
28/01/2022-01:42;8;8;16;
28/01/2022-01:47;8;8;16;
28/01/2022-01:52;8;8;16;
28/01/2022-01:57;8;8;16;
28/01/2022-02:02;8;8;16;
28/01/2022-02:07;8;8;16;
28/01/2022-02:12;8;8;16;
28/01/2022-02:17;8;8;16;
28/01/2022-02:22;8;8;16;
28/01/2022-02:27;8;8;16;
28/01/2022-02:32;8;8;16;
28/01/2022-02:37;8;8;16;
28/01/2022-02:42;8;8;16;
28/01/2022-02:47;8;8;16;
28/01/2022-02:52;8;8;16;
28/01/2022-02:57;8;8;16;
28/01/2022-03:02;8;8;16;
28/01/2022-03:07;8;8;16;
28/01/2022-03:12;8;8;16;
28/01/2022-03:17;8;8;16;
28/01/2022-03:22;8;8;16;
28/01/2022-03:27;8;8;16;
28/01/2022-03:32;8;8;16;
28/01/2022-03:37;8;8;16;
28/01/2022-03:42;8;8;16;
28/01/2022-03:47;8;8;16;
28/01/2022-03:52;8;8;16;
28/01/2022-03:57;8;8;16;
28/01/2022-04:02;8;8;16;
28/01/2022-04:07;8;8;16;
28/01/2022-04:12;8;8;16;
28/01/2022-04:17;8;8;16;
28/01/2022-04:22;8;8;16;
28/01/2022-04:27;8;8;16;
28/01/2022-04:32;8;8;16;
28/01/2022-04:37;8;8;16;
28/01/2022-04:42;8;8;16;
28/01/2022-04:47;8;8;16;
28/01/2022-04:52;8;8;16;
28/01/2022-04:57;8;8;16;
28/01/2022-05:02;8;8;16;
28/01/2022-05:07;8;8;16;
28/01/2022-05:12;8;8;16;
28/01/2022-05:17;8;8;16;
28/01/2022-05:22;8;8;16;
28/01/2022-05:27;8;8;16;
28/01/2022-05:32;8;8;16;
28/01/2022-05:37;8;8;16;
28/01/2022-05:42;8;8;16;
28/01/2022-05:47;8;8;16;
28/01/2022-05:52;8;8;16;
28/01/2022-05:57;8;8;16;
28/01/2022-06:02;8;8;16;
28/01/2022-06:07;8;8;16;
28/01/2022-06:12;8;8;16;
28/01/2022-06:17;8;8;16;
28/01/2022-06:22;8;8;16;
28/01/2022-06:27;8;8;16;
28/01/2022-06:32;8;8;16;
28/01/2022-06:37;8;8;16;
28/01/2022-06:42;8;8;16;
28/01/2022-06:47;8;8;16;
28/01/2022-06:52;8;8;16;
28/01/2022-06:57;8;8;16;
28/01/2022-07:02;8;8;16;
28/01/2022-07:07;8;8;16;
28/01/2022-07:12;8;8;16;
28/01/2022-07:17;8;8;16;
28/01/2022-07:22;8;8;16;
28/01/2022-07:27;8;8;16;
28/01/2022-07:32;8;8;16;
28/01/2022-07:37;8;8;16;
28/01/2022-07:42;8;8;16;
28/01/2022-07:47;8;8;16;
28/01/2022-07:52;7;9;16;
28/01/2022-07:57;7;9;16;
28/01/2022-08:02;7;9;16;
28/01/2022-08:07;7;9;16;
28/01/2022-08:12;7;9;16;
28/01/2022-08:17;7;9;16;
28/01/2022-08:22;7;9;16;
28/01/2022-08:27;7;9;16;
28/01/2022-08:32;6;10;16;
28/01/2022-08:37;6;10;16;
28/01/2022-08:42;6;10;16;
28/01/2022-08:47;6;10;16;
28/01/2022-08:52;6;10;16;
28/01/2022-08:57;6;10;16;
28/01/2022-09:02;6;10;16;
28/01/2022-09:07;6;10;16;
28/01/2022-09:12;6;10;16;
28/01/2022-09:17;6;10;16;
28/01/2022-09:22;6;10;16;
28/01/2022-09:27;6;10;16;
28/01/2022-09:32;6;10;16;
28/01/2022-09:37;6;10;16;
