CapTime,av,fr,to
27/01/2022-19:42,5,3,8,
27/01/2022-19:47,5,3,8,
27/01/2022-19:52,6,2,8,
27/01/2022-19:57,6,2,8,
27/01/2022-20:02,6,2,8,
27/01/2022-20:07,7,1,8,
27/01/2022-20:12,7,1,8,
27/01/2022-20:17,7,1,8,
27/01/2022-20:22,7,1,8,
27/01/2022-20:27,7,1,8,
27/01/2022-20:32,7,1,8,
27/01/2022-20:37,7,1,8,
27/01/2022-20:42,7,1,8,
27/01/2022-20:47,7,1,8,
27/01/2022-20:52,7,1,8,
27/01/2022-20:57,7,1,8,
27/01/2022-21:02,7,1,8,
27/01/2022-21:07,7,1,8,
27/01/2022-21:12,7,1,8,
27/01/2022-21:17,7,1,8,
27/01/2022-21:22,7,1,8,
27/01/2022-21:27,7,1,8,
27/01/2022-21:32,7,1,8,
27/01/2022-21:37,7,1,8,
27/01/2022-21:42,7,1,8,
27/01/2022-21:47,7,1,8,
27/01/2022-21:52,7,1,8,
27/01/2022-21:57,7,1,8,
27/01/2022-22:02,7,1,8,
27/01/2022-22:07,7,1,8,
27/01/2022-22:12,7,1,8,
27/01/2022-22:17,7,1,8,
27/01/2022-22:22,7,1,8,
27/01/2022-22:27,7,1,8,
27/01/2022-22:32,7,1,8,
27/01/2022-22:37,7,1,8,
27/01/2022-22:42,7,1,8,
27/01/2022-22:47,7,1,8,
27/01/2022-22:52,7,1,8,
27/01/2022-22:57,7,1,8,
27/01/2022-23:02,7,1,8,
27/01/2022-23:07,7,1,8,
27/01/2022-23:12,7,1,8,
27/01/2022-23:17,7,1,8,
27/01/2022-23:22,7,1,8,
27/01/2022-23:27,7,1,8,
27/01/2022-23:32,7,1,8,
27/01/2022-23:37,7,1,8,
27/01/2022-23:42,7,1,8,
27/01/2022-23:47,7,1,8,
27/01/2022-23:52,7,1,8,
27/01/2022-23:57,6,2,8,
28/01/2022-00:02,6,2,8,
28/01/2022-00:07,6,2,8,
28/01/2022-00:12,6,2,8,
28/01/2022-00:17,6,2,8,
28/01/2022-00:22,6,2,8,
28/01/2022-00:27,6,2,8,
28/01/2022-00:32,6,2,8,
28/01/2022-00:37,6,2,8,
28/01/2022-00:42,6,2,8,
28/01/2022-00:47,6,2,8,
28/01/2022-00:52,5,3,8,
28/01/2022-00:57,5,3,8,
28/01/2022-01:02,5,3,8,
28/01/2022-01:07,5,3,8,
28/01/2022-01:12,5,3,8,
28/01/2022-01:17,5,3,8,
28/01/2022-01:22,5,3,8,
28/01/2022-01:27,6,2,8,
28/01/2022-01:32,6,2,8,
28/01/2022-01:37,6,2,8,
28/01/2022-01:42,6,2,8,
28/01/2022-01:47,6,2,8,
28/01/2022-01:52,6,2,8,
28/01/2022-01:57,6,2,8,
28/01/2022-02:02,6,2,8,
28/01/2022-02:07,6,2,8,
28/01/2022-02:12,6,2,8,
28/01/2022-02:17,6,2,8,
28/01/2022-02:22,5,3,8,
28/01/2022-02:27,5,3,8,
28/01/2022-02:32,5,3,8,
28/01/2022-02:37,5,3,8,
28/01/2022-02:42,5,3,8,
28/01/2022-02:47,5,3,8,
28/01/2022-02:52,5,3,8,
28/01/2022-02:57,5,3,8,
28/01/2022-03:02,5,3,8,
28/01/2022-03:07,5,3,8,
28/01/2022-03:12,5,3,8,
28/01/2022-03:17,5,3,8,
28/01/2022-03:22,5,3,8,
28/01/2022-03:27,5,3,8,
28/01/2022-03:32,5,3,8,
28/01/2022-03:37,5,3,8,
28/01/2022-03:42,5,3,8,
28/01/2022-03:47,5,3,8,
28/01/2022-03:52,5,3,8,
28/01/2022-03:57,5,3,8,
28/01/2022-04:02,5,3,8,
28/01/2022-04:07,5,3,8,
28/01/2022-04:12,5,3,8,
28/01/2022-04:17,5,3,8,
