CapTime,av,fr,to
27/01/2022-19:42,4,4,8,
27/01/2022-19:47,4,4,8,
27/01/2022-19:52,4,4,8,
27/01/2022-19:57,4,4,8,
27/01/2022-20:02,4,4,8,
27/01/2022-20:07,4,4,8,
27/01/2022-20:12,4,4,8,
27/01/2022-20:17,4,4,8,
27/01/2022-20:22,4,4,8,
27/01/2022-20:27,4,4,8,
27/01/2022-20:32,4,4,8,
27/01/2022-20:37,4,4,8,
27/01/2022-20:42,4,4,8,
27/01/2022-20:47,4,4,8,
27/01/2022-20:52,4,4,8,
27/01/2022-20:57,4,4,8,
27/01/2022-21:02,4,4,8,
27/01/2022-21:07,4,4,8,
27/01/2022-21:12,4,4,8,
27/01/2022-21:17,4,4,8,
27/01/2022-21:22,4,4,8,
27/01/2022-21:27,4,4,8,
27/01/2022-21:32,4,4,8,
27/01/2022-21:37,4,4,8,
27/01/2022-21:42,4,4,8,
27/01/2022-21:47,4,4,8,
27/01/2022-21:52,4,4,8,
27/01/2022-21:57,4,4,8,
27/01/2022-22:02,4,4,8,
27/01/2022-22:07,4,4,8,
27/01/2022-22:12,4,4,8,
27/01/2022-22:17,4,4,8,
27/01/2022-22:22,4,4,8,
27/01/2022-22:27,4,4,8,
27/01/2022-22:32,4,4,8,
27/01/2022-22:37,4,4,8,
27/01/2022-22:42,4,4,8,
27/01/2022-22:47,4,4,8,
27/01/2022-22:52,4,4,8,
27/01/2022-22:57,4,4,8,
27/01/2022-23:02,4,4,8,
27/01/2022-23:07,4,4,8,
27/01/2022-23:12,4,4,8,
27/01/2022-23:17,3,5,8,
27/01/2022-23:22,3,5,8,
27/01/2022-23:27,3,5,8,
27/01/2022-23:32,3,5,8,
27/01/2022-23:37,3,5,8,
27/01/2022-23:42,3,5,8,
27/01/2022-23:47,3,5,8,
27/01/2022-23:52,3,5,8,
27/01/2022-23:57,3,5,8,
28/01/2022-00:02,3,5,8,
28/01/2022-00:07,3,5,8,
28/01/2022-00:12,3,5,8,
28/01/2022-00:17,3,5,8,
28/01/2022-00:22,3,5,8,
28/01/2022-00:27,3,5,8,
28/01/2022-00:32,3,5,8,
28/01/2022-00:37,3,5,8,
28/01/2022-00:42,3,5,8,
28/01/2022-00:47,3,5,8,
28/01/2022-00:52,3,5,8,
28/01/2022-00:57,3,5,8,
28/01/2022-01:02,3,5,8,
28/01/2022-01:07,3,5,8,
28/01/2022-01:12,3,5,8,
28/01/2022-01:17,3,5,8,
28/01/2022-01:22,3,5,8,
28/01/2022-01:27,3,5,8,
28/01/2022-01:32,3,5,8,
28/01/2022-01:37,3,5,8,
28/01/2022-01:42,3,5,8,
