CapTime;av;fr;to
27/01/2022-19:42;6;2;8;
27/01/2022-19:47;6;2;8;
27/01/2022-19:52;6;2;8;
27/01/2022-19:57;6;2;8;
27/01/2022-20:02;6;2;8;
27/01/2022-20:07;6;2;8;
27/01/2022-20:12;6;2;8;
27/01/2022-20:17;6;2;8;
27/01/2022-20:22;6;2;8;
27/01/2022-20:27;6;2;8;
27/01/2022-20:32;6;2;8;
27/01/2022-20:37;6;2;8;
27/01/2022-20:42;6;2;8;
27/01/2022-20:47;6;2;8;
27/01/2022-20:52;6;2;8;
27/01/2022-20:57;6;2;8;
27/01/2022-21:02;6;2;8;
27/01/2022-21:07;6;2;8;
27/01/2022-21:12;6;2;8;
27/01/2022-21:17;6;2;8;
27/01/2022-21:22;6;2;8;
27/01/2022-21:27;6;2;8;
27/01/2022-21:32;6;2;8;
27/01/2022-21:37;6;2;8;
27/01/2022-21:42;6;2;8;
27/01/2022-21:47;6;2;8;
27/01/2022-21:52;6;2;8;
27/01/2022-21:57;6;2;8;
27/01/2022-22:02;6;2;8;
27/01/2022-22:07;6;2;8;
27/01/2022-22:12;6;2;8;
27/01/2022-22:17;6;2;8;
27/01/2022-22:22;6;2;8;
27/01/2022-22:27;6;2;8;
27/01/2022-22:32;6;2;8;
27/01/2022-22:37;6;2;8;
27/01/2022-22:42;6;2;8;
27/01/2022-22:47;6;2;8;
27/01/2022-22:52;7;1;8;
27/01/2022-22:57;7;1;8;
27/01/2022-23:02;7;1;8;
27/01/2022-23:07;7;1;8;
27/01/2022-23:12;8;0;8;
27/01/2022-23:17;8;0;8;
27/01/2022-23:22;8;0;8;
27/01/2022-23:27;7;1;8;
27/01/2022-23:32;7;1;8;
27/01/2022-23:37;7;1;8;
27/01/2022-23:42;7;1;8;
27/01/2022-23:47;7;1;8;
27/01/2022-23:52;7;1;8;
27/01/2022-23:57;7;1;8;
28/01/2022-00:02;7;1;8;
28/01/2022-00:07;7;1;8;
28/01/2022-00:12;7;1;8;
28/01/2022-00:17;8;0;8;
28/01/2022-00:22;8;0;8;
28/01/2022-00:27;8;0;8;
28/01/2022-00:32;8;0;8;
28/01/2022-00:37;8;0;8;
28/01/2022-00:42;8;0;8;
28/01/2022-00:47;8;0;8;
28/01/2022-00:52;8;0;8;
28/01/2022-00:57;8;0;8;
28/01/2022-01:02;8;0;8;
28/01/2022-01:07;8;0;8;
28/01/2022-01:12;8;0;8;
