27/01/2022-19:42 0158 6
27/01/2022-19:47 0160 6
27/01/2022-19:52 0161 6
27/01/2022-19:57 0161 6
27/01/2022-20:02 0162 6
27/01/2022-20:07 0162 6
27/01/2022-20:12 0163 6
27/01/2022-20:17 0164 6
27/01/2022-20:22 0165 6
27/01/2022-20:27 0167 6
27/01/2022-20:32 0167 6
27/01/2022-20:37 0167 6
27/01/2022-20:42 0167 6
27/01/2022-20:47 0168 6
27/01/2022-20:52 0167 6
27/01/2022-20:57 0168 6
27/01/2022-21:02 0169 6
27/01/2022-21:07 0170 6
27/01/2022-21:12 0170 6
27/01/2022-21:17 0170 6
27/01/2022-21:22 0170 6
27/01/2022-21:27 0170 6
27/01/2022-21:32 0170 6
27/01/2022-21:37 0170 6
27/01/2022-21:42 0171 6
27/01/2022-21:47 0171 6
27/01/2022-21:52 0171 6
27/01/2022-21:57 0171 6
27/01/2022-22:02 0171 6
27/01/2022-22:07 0171 6
27/01/2022-22:12 0171 6
27/01/2022-22:17 0171 6
27/01/2022-22:22 0171 6
27/01/2022-22:27 0171 6
27/01/2022-22:32 0171 6
27/01/2022-22:37 0171 6
27/01/2022-22:42 0171 6
27/01/2022-22:47 0171 6
27/01/2022-22:52 0172 6
27/01/2022-22:57 0172 6
27/01/2022-23:02 0172 6
27/01/2022-23:07 0173 6
27/01/2022-23:12 0173 6
27/01/2022-23:17 0173 6
27/01/2022-23:22 0173 6
27/01/2022-23:27 0173 6
27/01/2022-23:32 0174 6
27/01/2022-23:37 0175 6
27/01/2022-23:42 0175 6
27/01/2022-23:47 0175 6
27/01/2022-23:52 0175 6
27/01/2022-23:57 0175 6
28/01/2022-00:02 0175 6
28/01/2022-00:07 0175 6
28/01/2022-00:12 0175 6
28/01/2022-00:17 0175 6
28/01/2022-00:22 0175 6
28/01/2022-00:27 0175 6
28/01/2022-00:32 0175 6
28/01/2022-00:37 0176 6
28/01/2022-00:42 0176 6
28/01/2022-00:47 0176 6
28/01/2022-00:52 0176 6
28/01/2022-00:57 0176 6
28/01/2022-01:02 0176 6
28/01/2022-01:07 0176 6
28/01/2022-01:12 0176 6
28/01/2022-01:17 0176 6
28/01/2022-01:22 0176 6
28/01/2022-01:27 0176 6
28/01/2022-01:32 0176 6
28/01/2022-01:37 0176 6
28/01/2022-01:42 0176 7
28/01/2022-01:47 0176 7
28/01/2022-01:52 0176 7
28/01/2022-01:57 0176 7
28/01/2022-02:02 0176 7
28/01/2022-02:07 0176 7
28/01/2022-02:12 0176 7
28/01/2022-02:17 0176 7
28/01/2022-02:22 0176 7
28/01/2022-02:27 0176 7
28/01/2022-02:32 0176 7
28/01/2022-02:37 0176 7
28/01/2022-02:42 0176 7
28/01/2022-02:47 0176 7
28/01/2022-02:52 0176 7
28/01/2022-02:57 0176 7
28/01/2022-03:02 0176 7
28/01/2022-03:07 0176 7
28/01/2022-03:12 0176 7
28/01/2022-03:17 0176 7
28/01/2022-03:22 0176 7
28/01/2022-03:27 0176 7
28/01/2022-03:32 0176 7
28/01/2022-03:37 0176 7
28/01/2022-03:42 0176 7
28/01/2022-03:47 0176 7
28/01/2022-03:52 0176 7
28/01/2022-03:57 0176 7
28/01/2022-04:02 0176 7
28/01/2022-04:07 0175 7
28/01/2022-04:12 0175 7
28/01/2022-04:17 0175 7
28/01/2022-04:22 0175 7
28/01/2022-04:27 0174 7
28/01/2022-04:32 0174 7
28/01/2022-04:37 0174 7
28/01/2022-04:42 0174 7
28/01/2022-04:47 0174 7
28/01/2022-04:52 0174 7
28/01/2022-04:57 0174 7
28/01/2022-05:02 0174 7
28/01/2022-05:07 0174 7
28/01/2022-05:12 0174 7
28/01/2022-05:17 0174 7
28/01/2022-05:22 0174 7
28/01/2022-05:27 0174 7
28/01/2022-05:32 0174 7
28/01/2022-05:37 0174 7
28/01/2022-05:42 0174 7
28/01/2022-05:47 0174 7
28/01/2022-05:52 0174 7
28/01/2022-05:57 0174 7
28/01/2022-06:02 0174 7
28/01/2022-06:07 0174 7
28/01/2022-06:12 0174 7
28/01/2022-06:17 0174 7
28/01/2022-06:22 0174 7
28/01/2022-06:27 0172 7
28/01/2022-06:32 0171 7
28/01/2022-06:37 0169 7
28/01/2022-06:42 0169 7
28/01/2022-06:47 0169 7
28/01/2022-06:52 0169 7
28/01/2022-06:57 0169 7
28/01/2022-07:02 0169 7
28/01/2022-07:07 0167 7
28/01/2022-07:12 0164 7
28/01/2022-07:17 0159 7
28/01/2022-07:22 0154 7
28/01/2022-07:27 0147 7
28/01/2022-07:32 0145 7
28/01/2022-07:37 0140 6
28/01/2022-07:42 0137 6
28/01/2022-07:47 0136 6
28/01/2022-07:52 0131 6
